"Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe"
"Trema orientalis","planted",93,"<10cm planted","1797","S0054MP 42","Madagascar","FAFIALA","Restoration","Restoration","30x30",711,1595,"main","Planted_30x30_2","Permanent","2","2","2m sur 2m","Y0"
"Harungana madagascarinesis","planted",122,"<10cm planted","1797","S0054MP 41","Madagascar","FAFIALA","Restoration","Restoration","30x30",712,1596,"main","Planted_30x30_2","Permanent","2","2","2m sur 2m","Y0"
"Dracaena reflexa","planted",2,"<10cm planted","1797","S0054MP 41","Madagascar","FAFIALA","Restoration","Restoration","30x30",713,1596,"main","Planted_30x30_2","Permanent","2","2","2m sur 2m","Y0"
"Dracaena reflexa","planted",215,"<10cm planted","1795","S0052MP65","Madagascar","FAFIALA","Restoration","Restoration","30x30",714,1597,"main","Planted_30x30_2","Permanent","2","2","2m* 2m","Y0"
"Harungana madagascarinesis","planted",79,"<10cm planted","1797","S0054MP 35","Madagascar","FAFIALA","Restoration","Restoration","30x30",715,1599,"main","Planted_30x30_2","Permanent","2","2","2m sur 2 m","Y0"
"Dracaena reflexa","planted",80,"<10cm planted","1797","S0054MP 35","Madagascar","FAFIALA","Restoration","Restoration","30x30",716,1599,"main","Planted_30x30_2","Permanent","2","2","2m sur 2 m","Y0"
"Trema orientalis","planted",80,"<10cm planted","1797","S0054MP 35","Madagascar","FAFIALA","Restoration","Restoration","30x30",717,1599,"main","Planted_30x30_2","Permanent","2","2","2m sur 2 m","Y0"
"Harungana madagascarinesis","planted",90,"<10cm planted","1797","S0054MP34","Madagascar","FAFIALA","Restoration","Restoration","30x30",718,1601,"main","Planted_30x30_2","Permanent","2","2","2m sur 2m","Y0"
"Dracaena reflexa","planted",98,"<10cm planted","1797","S0054MP34","Madagascar","FAFIALA","Restoration","Restoration","30x30",719,1601,"main","Planted_30x30_2","Permanent","2","2","2m sur 2m","Y0"
"Trema orientalis","planted",88,"<10cm planted","1797","S0054MP 127","Madagascar","FAFIALA","Restoration","Restoration","30x30",720,1603,"main","Planted_30x30_2","Permanent","2","2","2m sur 2m","Y0"
"Dracaena reflexa","planted",125,"<10cm planted","1797","S0054MP 127","Madagascar","FAFIALA","Restoration","Restoration","30x30",721,1603,"main","Planted_30x30_2","Permanent","2","2","2m sur 2m","Y0"
"Dracaena reflexa","planted",63,"<10cm planted","1808","S0065MP1","Madagascar","FAFIALA","Restoration","Restoration","30x30",722,1606,"main","Planted_30x30_2","Permanent","2","2","2m*2m","Y0"
"Harungana madagascarnesis","planted",157,"<10cm planted","1808","S0065MP1","Madagascar","FAFIALA","Restoration","Restoration","30x30",723,1606,"main","Planted_30x30_2","Permanent","2","2","2m*2m","Y0"
"Harungana madagascarinesis","planted",131,"<10cm planted","1797","S0054MP 33","Madagascar","FAFIALA","Restoration","Restoration","30x30",724,1607,"main","Planted_30x30_2","Permanent","2","2","1,5m sur 1,5m","Y0"
"Trema orientalis","planted",30,"<10cm planted","1797","S0054MP 33","Madagascar","FAFIALA","Restoration","Restoration","30x30",725,1607,"main","Planted_30x30_2","Permanent","2","2","1,5m sur 1,5m","Y0"
"Dracaena reflexa","planted",64,"<10cm planted","1797","S0054MP 33","Madagascar","FAFIALA","Restoration","Restoration","30x30",726,1607,"main","Planted_30x30_2","Permanent","2","2","1,5m sur 1,5m","Y0"
"Dracaena reflexa","planted",37,"<10cm planted","1797","S0054MP 98","Madagascar","FAFIALA","Restoration","Restoration","30x30",727,1610,"main","Planted_30x30_2","Permanent","2","2","2m sur 2m","Y0"
"Harungana madagascarinesis","planted",29,"<10cm planted","1797","S0054MP 98","Madagascar","FAFIALA","Restoration","Restoration","30x30",728,1610,"main","Planted_30x30_2","Permanent","2","2","2m sur 2m","Y0"
"Citrus sinensis","planted",1,"<10cm planted","1817","S0074MP4","Madagascar","FAFIALA","Restoration","Restoration","30x30",729,1612,"main","Planted_30x30_2","Permanent","2","2","2m sur 2m","Y0"
"Harungana madagascarines","planted",122,"<10cm planted","1817","S0074MP4","Madagascar","FAFIALA","Restoration","Restoration","30x30",730,1612,"main","Planted_30x30_2","Permanent","2","2","2m sur 2m","Y0"
"Dracaena reflexa","planted",1,"<10cm planted","1817","S0074MP4","Madagascar","FAFIALA","Restoration","Restoration","30x30",731,1612,"main","Planted_30x30_2","Permanent","2","2","2m sur 2m","Y0"
"Trema orientalis","planted",32,"<10cm planted","1817","S0074MP4","Madagascar","FAFIALA","Restoration","Restoration","30x30",732,1612,"main","Planted_30x30_2","Permanent","2","2","2m sur 2m","Y0"
"Harungana madagascarinesis","planted",180,"<10cm planted","1818","S0075MP 11","Madagascar","FAFIALA","Restoration","Restoration","30x30",733,1618,"main","Planted_30x30_2","Permanent","2","2","2m sur 2m","Y0"
"Dracaena reflexa","planted",22,"<10cm planted","1818","S0075MP 11","Madagascar","FAFIALA","Restoration","Restoration","30x30",734,1618,"main","Planted_30x30_2","Permanent","2","2","2m sur 2m","Y0"
"Harungana madagascarinesis","planted",129,"<10cm planted","1818","S0075MP 12","Madagascar","FAFIALA","Restoration","Restoration","30x30",735,1620,"main","Planted_30x30_2","Permanent","2","2","2m sur 2m","Y0"
"Dracaena reflexa","planted",96,"<10cm planted","1818","S0075MP 12","Madagascar","FAFIALA","Restoration","Restoration","30x30",736,1620,"main","Planted_30x30_2","Permanent","2","2","2m sur 2m","Y0"
"Spondias dulcis","planted",10,"<10cm planted","1812","S0069MP5","Madagascar","FAFIALA","Restoration","Restoration","30x30",737,1622,"main","Planted_30x30_2","Permanent","2","2","4m*4m","Y0"
"Citrus sinensis","planted",7,"<10cm planted","1812","S0069MP5","Madagascar","FAFIALA","Restoration","Restoration","30x30",738,1622,"main","Planted_30x30_2","Permanent","2","2","4m*4m","Y0"
"Luxa capitata","planted",5,"<10cm planted","1797","S0054MP77","Madagascar","FAFIALA","Restoration","Restoration","30x30",739,1624,"main","Planted_30x30_2","Permanent","2","2","2m*2m","Y0"
"Dracaena reflexa","planted",201,"<10cm planted","1812","S0069MP36","Madagascar","FAFIALA","Restoration","Restoration","30x30",740,1626,"main","Planted_30x30_2","Permanent","2","2","2m*2m","Y0"
