"Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe"
"Bursera copallifera","Present",1,"<1cm","1397","1397-2","Mexico","FONCET","Restoration","Restoration","1x1",72,238,"main","Nested_1x1","Permanent","0","0","De 2 metros por 1.80 metros","Y0"
"Persea caerulea","Present",1,"<1cm","1401","1401-2","Mexico","FONCET","Restoration","Restoration","1x1",73,239,"main","Nested_1x1","Permanent","0","0","De 2 metros por 1.50 metros","Y0"
"Inga spuria","Present",1,"<1cm","1401","1401-1","Mexico","FONCET","Restoration","Restoration","1x1",74,242,"main","Nested_1x1","Permanent","0","0","De 2 metros por 1.50 metros","Y0"
"Bursera simaruba","Present",1,"<1cm","1394","1394-2","Mexico","FONCET","Restoration","Restoration","1x1",75,243,"main","Nested_1x1","Permanent","0","0","De 1.50 metros por 2 metros","Y0"
"Fig","naturally_regenerating",1,"<1cm","180","M 4","Malawi","Wells for Zoe","Restoration","Restoration","1x1",76,250,"main","Nested_1x1","Permanent","2","0","2m by 2m","Y0"
"Goniocheton arborescens","naturally_regenerating",1,"<1cm","211","Plot No. 007","Philippines","CI Philippines","Restoration","Restoration","1x1",77,289,"main","Nested_1x1","Permanent","0","0","Trees were planted with a 2m by 3m spacing","Y0"
"Leucosyke capitellata","naturally_regenerating",1,"<1cm","211","Plot No. 007","Philippines","CI Philippines","Restoration","Restoration","1x1",78,289,"main","Nested_1x1","Permanent","0","0","Trees were planted with a 2m by 3m spacing","Y0"
"Dipterocarpus grandiflorus","Present",1,"<1cm","211","Plot No. 008","Philippines","CI Philippines","Restoration","Restoration","1x1",79,290,"main","Nested_1x1","Permanent","0","0","Trees were planted with a 3m x 2m spacing","Y0"
"Intsia bijuga","planted",1,"<10cm planted","211","Plot No. 008","Philippines","CI Philippines","Restoration","Restoration","1x1",80,290,"main","Nested_1x1","Permanent","0","0","Trees were planted with a 3m x 2m spacing","Y0"
"Macaranga grandifolia","Present",1,"<1cm","211","Plot No. 008","Philippines","CI Philippines","Restoration","Restoration","1x1",81,290,"main","Nested_1x1","Permanent","0","0","Trees were planted with a 3m x 2m spacing","Y0"
"Mitrephora lanotan","Present",1,"<1cm","211","Plot No. 009","Philippines","CI Philippines","Restoration","Restoration","1x1",82,291,"main","Nested_1x1","Permanent","0","0","Trees planted with a 3m by 2m spacing","Y0"
"Intsia bijuga","planted",1,"<10cm planted","211","Plot No. 009","Philippines","CI Philippines","Restoration","Restoration","1x1",83,291,"main","Nested_1x1","Permanent","0","0","Trees planted with a 3m by 2m spacing","Y0"
"Drypetes grandifolia","Present",1,"<1cm","211","Plot No. 010","Philippines","CI Philippines","Restoration","Restoration","1x1",84,292,"main","Nested_1x1","Permanent","0","0","Trees were planted with a 3m by 2 m spacing","Y0"
"Intsia bijuga","planted",1,"<10cm planted","211","Plot No. 010","Philippines","CI Philippines","Restoration","Restoration","1x1",85,292,"main","Nested_1x1","Permanent","0","0","Trees were planted with a 3m by 2 m spacing","Y0"
"Macaranga tanarius","Present",1,"<1cm","211","Plot No. 010","Philippines","CI Philippines","Restoration","Restoration","1x1",86,292,"main","Nested_1x1","Permanent","0","0","Trees were planted with a 3m by 2 m spacing","Y0"
"Faidherbia albida","planted",23,"<10cm planted","180","M23","Malawi","Wells for Zoe","Restoration","Restoration","1x1",87,293,"main","Nested_1x1","Randomized","0","0","2m by 2m","Y0"
"Alfzelia quenzesis","planted",15,"<10cm planted","180","M23","Malawi","Wells for Zoe","Restoration","Restoration","1x1",88,293,"main","Nested_1x1","Randomized","0","0","2m by 2m","Y0"
"Mtondo","planted",15,"<10cm planted","180","M23","Malawi","Wells for Zoe","Restoration","Restoration","1x1",89,293,"main","Nested_1x1","Randomized","0","0","2m by 2m","Y0"
"Diospyros pyrrhocarpa","Present",1,"<1cm","211","Plot No. 011","Philippines","CI Philippines","Restoration","Restoration","1x1",90,294,"main","Nested_1x1","Permanent","0","0","Tree planted with 3m by 2m spacing","Y0"
