"","size_class","Tree_type","Species","Timeframe","Plot_ID","Site_ID","Tree_per_sq_30m","est_pl_dens"
"79",">10cm","naturally_regenerating","Nkhadzi","Y0","P16","180",0.666666666666667,0
"80","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P17","180",100,225
"81",">10cm","naturally_regenerating","Chiombo","Y0","P17","180",0.333333333333333,225
"82","1-9.9cm","naturally_regenerating","Faidherb albida","Y0","P18","180",100,0
"83",">10cm","naturally_regenerating","Fig","Y0","P18","180",0.333333333333333,0
"84","1-9.9cm","naturally_regenerating","Fig","Y0","P18","180",100,0
"85","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P19","180",200,225
"86","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P2","180",300,225
"87","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P20","180",200,0
"88",">10cm","naturally_regenerating","Chiombo","Y0","P20","180",0.333333333333333,0
"89",">10cm","naturally_regenerating","Faidherbia albida","Y0","P20","180",0.333333333333333,0
"90","1-9.9cm","naturally_regenerating","Maviro","Y0","P20","180",100,0
"91","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P21","180",300,0
"92","1-9.9cm","naturally_regenerating","Msolo","Y0","P21","180",100,0
"93","1-9.9cm","naturally_regenerating","Bauhia","Y0","P22","180",100,0
"94","1-9.9cm","naturally_regenerating","Fig","Y0","P22","180",100,0
"95","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P27","180",300,0
"96","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P28","180",300,225
"97","1-9.9cm","naturally_regenerating","Matowo","Y0","P28","180",100,225
"98","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P3","180",200,225
"99","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P31","180",100,225
"100","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P32","180",50,225
"101","1-9.9cm","naturally_regenerating","Mkalakati","Y0","P32","180",100,225
"102","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P33
","180",50,0
"103","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P34","180",100,225
"104",">10cm","naturally_regenerating","Brachystigia","Y0","P34","180",1,225
"105","1-9.9cm","naturally_regenerating","Mkalakati","Y0","P38","180",50,225
"106",">10cm","naturally_regenerating","Bauhinia","Y0","P39","180",0.5,225
"107","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P39","180",150,225
"108","1-9.9cm","naturally_regenerating","Chitimbe","Y0","P4","180",1800,225
"109","1-9.9cm","naturally_regenerating","Faidherbia albida","Y0","P4","180",3700,225
"110","1-9.9cm","naturally_regenerating","Mbawa","Y0","P4","180",3700,225
"111","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P40","180",50,0
"112","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P5","180",300,0
"113",">10cm","naturally_regenerating","bauhinia","Y0","P6","180",1.66666666666667,0
"114","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P6
","180",200,0
"115",">10cm","naturally_regenerating","Chiombo","Y0","P6
","180",1,0
"116",">10cm","naturally_regenerating","Bauhinia","Y0","P7","180",1.33333333333333,0
"117","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P7","180",400,0
"118",">10cm","naturally_regenerating","Chiombo","Y0","P7","180",1.33333333333333,0
"119",">10cm","naturally_regenerating","Fidherbia albida","Y0","P7","180",0.333333333333333,0
"120","1-9.9cm","naturally_regenerating","Fidherbia albida","Y0","P7","180",100,0
"121",">10cm","naturally_regenerating","Mphangala","Y0","P7","180",0.333333333333333,0
"122","1-9.9cm","naturally_regenerating","Mphangala","Y0","P7","180",100,0
"123","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P8","180",300,0
"124","1-9.9cm","naturally_regenerating","Kaumbwe","Y0","P8","180",100,0
"125","1-9.9cm","naturally_regenerating","mlama","Y0","P8","180",100,0
"126","1-9.9cm","naturally_regenerating","bauhinia","Y0","P9","180",100,225
"127","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P9","180",300,225
"128","1-9.9cm","naturally_regenerating","Chisoyo","Y0","P9","180",200,225
"129","1-9.9cm","naturally_regenerating","Maviru","Y0","P9","180",100,225
"130","<1cm","naturally_regenerating","Drypetes grandifolia","Y0","Plot No. 001","211",900,150
"131","<1cm","planted","Intsia bijuga","Y0","Plot No. 002","211",900,150
"132","<1cm","naturally_regenerating","Swietenia foxworthyi","Y0","Plot No. 003","211",900,150
"133","<1cm","naturally_regenerating","Goniocheton arborescens","Y0","Plot No. 007","211",900,150
"134","<1cm","naturally_regenerating","Leucosyke capitellata","Y0","Plot No. 007","211",900,150
"135","<1cm","planted","Intsia bijuga","Y0","Plot No. 008","211",900,150
"136","<1cm","planted","Intsia bijuga","Y0","Plot No. 009","211",900,150
"137","<1cm","planted","Intsia bijuga","Y0","Plot No. 010","211",900,150
"138",">10cm","naturally_regenerating","Butea monosperma","Y0","273B1P1","273B1P1",11,269.097760417743
"139","1-9.9cm","planted","Butea monosperma","Y0","273B1P1","273B1P1",100,269.097760417743
"140","1-9.9cm","planted","D melonoxylon","Y0","273B1P1","273B1P1",100,269.097760417743
"141",">10cm","naturally_regenerating","Mangifera indica","Y0","273B1P1","273B1P1",18,0
"142","1-9.9cm","naturally_regenerating","Populus","Y0","23","Chant-255-23",200,100
"143","1-9.9cm","planted","Quercus robur","Y0","251-49","Chantilly",200,90
"144","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","16","Chantilly-255-16",100,90
"145","1-9.9cm","naturally_regenerating","Tibia cordata","Y0","16","Chantilly-255-16",500,90
"146","1-9.9cm","naturally_regenerating","Talia cordata","Y0","17","Chantilly-255-17",400,100
"147","1-9.9cm","naturally_regenerating","Quercus","Y0","18","Chantilly-255-18",200,100
"148","1-9.9cm","naturally_regenerating","Quercus","Y0","19","Chantilly-255-19",400,100
"149","1-9.9cm","naturally_regenerating","Sorbus aucuparia","Y0","19","Chantilly-255-19",200,100
"150","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","20","Chantilly-255-20",200,100
"151","1-9.9cm","naturally_regenerating","Quercus","Y0","20","Chantilly-255-20",300,100
"152","1-9.9cm","naturally_regenerating","Talia cordata","Y0","20","Chantilly-255-20",200,100
"153","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","22","Chantilly-255-22",200,100
"154","1-9.9cm","naturally_regenerating","Quercus","Y0","22","Chantilly-255-22",200,100
"155","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","24","Chantilly-255-24",400,100
"156","1-9.9cm","naturally_regenerating","Quercus","Y0","25","Chantilly-255-25",200,100
"157","1-9.9cm","naturally_regenerating","Carpinus","Y0","26","Chantilly-255-26",200,100
"158","1-9.9cm","naturally_regenerating","Populus sp","Y0","26","Chantilly-255-26",200,100
"159","1-9.9cm","planted","Quercus robur","Y0","41","Chantilly-451-40",300,0
"160","1-9.9cm","planted","Quercus robur","Y0","41","Chantilly-451-41",200,0
"161","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","42","Chantilly-451-42",200,0
"162","1-9.9cm","planted","Quercus robur","Y0","42","Chantilly-451-42",200,0
"163","1-9.9cm","planted","Sorbus torminalis","Y0","42","Chantilly-451-42",200,0
"164","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","43","Chantilly-451-43",100,0
