"","size_class","Tree_type","Species","Timeframe","Plot_ID","Site_ID","Tree_per_sq_30m","est_pl_dens"
"79","1-9.9cm","naturally_regenerating","Fig","Y0","P22","180",100,0
"80","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P27","180",300,0
"81","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P28","180",300,225
"82","1-9.9cm","naturally_regenerating","Matowo","Y0","P28","180",100,225
"83","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P3","180",200,225
"84","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P31","180",100,225
"85","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P32","180",50,225
"86","1-9.9cm","naturally_regenerating","Mkalakati","Y0","P32","180",100,225
"87","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P33
","180",50,0
"88","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P34","180",100,225
"89",">10cm","naturally_regenerating","Brachystigia","Y0","P34","180",1,225
"90","1-9.9cm","naturally_regenerating","Mkalakati","Y0","P38","180",50,225
"91",">10cm","naturally_regenerating","Bauhinia","Y0","P39","180",0.5,225
"92","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P39","180",150,225
"93","1-9.9cm","naturally_regenerating","Chitimbe","Y0","P4","180",1800,225
"94","1-9.9cm","naturally_regenerating","Faidherbia albida","Y0","P4","180",3700,225
"95","1-9.9cm","naturally_regenerating","Mbawa","Y0","P4","180",3700,225
"96","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P40","180",50,0
"97","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P5","180",300,0
"98",">10cm","naturally_regenerating","bauhinia","Y0","P6","180",1.66666666666667,0
"99","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P6
","180",200,0
"100",">10cm","naturally_regenerating","Chiombo","Y0","P6
","180",1,0
"101",">10cm","naturally_regenerating","Bauhinia","Y0","P7","180",1.33333333333333,0
"102","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P7","180",400,0
"103",">10cm","naturally_regenerating","Chiombo","Y0","P7","180",1.33333333333333,0
"104",">10cm","naturally_regenerating","Fidherbia albida","Y0","P7","180",0.333333333333333,0
"105","1-9.9cm","naturally_regenerating","Fidherbia albida","Y0","P7","180",100,0
"106",">10cm","naturally_regenerating","Mphangala","Y0","P7","180",0.333333333333333,0
"107","1-9.9cm","naturally_regenerating","Mphangala","Y0","P7","180",100,0
"108","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P8","180",300,0
"109","1-9.9cm","naturally_regenerating","Kaumbwe","Y0","P8","180",100,0
"110","1-9.9cm","naturally_regenerating","mlama","Y0","P8","180",100,0
"111","1-9.9cm","naturally_regenerating","bauhinia","Y0","P9","180",100,225
"112","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P9","180",300,225
"113","1-9.9cm","naturally_regenerating","Chisoyo","Y0","P9","180",200,225
"114","1-9.9cm","naturally_regenerating","Maviru","Y0","P9","180",100,225
"115","<1cm","naturally_regenerating","Drypetes grandifolia","Y0","Plot No. 001","211",900,150
"116","<1cm","naturally_regenerating","Swietenia foxworthyi","Y0","Plot No. 003","211",900,150
"117","<1cm","naturally_regenerating","Goniocheton arborescens","Y0","Plot No. 007","211",900,150
"118","<1cm","naturally_regenerating","Leucosyke capitellata","Y0","Plot No. 007","211",900,150
"119",">10cm","naturally_regenerating","Butea monosperma","Y0","273B1P1","273B1P1",11,269.097760417743
"120",">10cm","naturally_regenerating","Mangifera indica","Y0","273B1P1","273B1P1",18,0
"121","1-9.9cm","naturally_regenerating","Populus","Y0","23","Chant-255-23",200,100
"122","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","16","Chantilly-255-16",100,90
"123","1-9.9cm","naturally_regenerating","Tibia cordata","Y0","16","Chantilly-255-16",500,90
"124","1-9.9cm","naturally_regenerating","Talia cordata","Y0","17","Chantilly-255-17",400,100
"125","1-9.9cm","naturally_regenerating","Quercus","Y0","18","Chantilly-255-18",200,100
"126","1-9.9cm","naturally_regenerating","Quercus","Y0","19","Chantilly-255-19",400,100
"127","1-9.9cm","naturally_regenerating","Sorbus aucuparia","Y0","19","Chantilly-255-19",200,100
"128","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","20","Chantilly-255-20",200,100
"129","1-9.9cm","naturally_regenerating","Quercus","Y0","20","Chantilly-255-20",300,100
"130","1-9.9cm","naturally_regenerating","Talia cordata","Y0","20","Chantilly-255-20",200,100
"131","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","22","Chantilly-255-22",200,100
"132","1-9.9cm","naturally_regenerating","Quercus","Y0","22","Chantilly-255-22",200,100
"133","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","24","Chantilly-255-24",400,100
"134","1-9.9cm","naturally_regenerating","Quercus","Y0","25","Chantilly-255-25",200,100
"135","1-9.9cm","naturally_regenerating","Carpinus","Y0","26","Chantilly-255-26",200,100
"136","1-9.9cm","naturally_regenerating","Populus sp","Y0","26","Chantilly-255-26",200,100
"137","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","42","Chantilly-451-42",200,0
"138","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","43","Chantilly-451-43",100,0
"139","1-9.9cm","naturally_regenerating","Populus","Y0","43","Chantilly-451-43",300,0
"140","1-9.9cm","naturally_regenerating","Quercus robur","Y0","43","Chantilly-451-43",100,0
"141","1-9.9cm","naturally_regenerating","Populis","Y0","44","Chantilly-451-44",400,0
"142","1-9.9cm","naturally_regenerating","Quercus robur","Y0","46","Chantilly-451-46",800,60
"143","1-9.9cm","naturally_regenerating","Acer campestris","Y0","1","Chantilly-51-1",300,90
"144","1-9.9cm","naturally_regenerating","Acer pseudoplatanus","Y0","3","Chantilly-51-3",600,0
"145","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","3","Chantilly-51-3",300,0
"146","1-9.9cm","naturally_regenerating","Prunus avium","Y0","3","Chantilly-51-3",200,0
"147","1-9.9cm","naturally_regenerating","Quercus","Y0","3","Chantilly-51-3",100,0
"148","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","4","Chantilly-51-4",100,0
"149","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","7","Chantilly-51-7",100,0
"150","1-9.9cm","naturally_regenerating","Quercus","Y0","28","Chantilly-523-28",400,90
"151","1-9.9cm","naturally_regenerating","Quercus","Y0","29","Chantilly-523-29",400,0
"152","1-9.9cm","naturally_regenerating","Quercus","Y0","32","Chantilly-523-32",300,0
"153","1-9.9cm","naturally_regenerating","Quercus","Y0","34","Chantilly-523-34",100,0
"154","1-9.9cm","naturally_regenerating","Quercus","Y0","35","Chantilly-523-35",300,0
"155","1-9.9cm","naturally_regenerating","Bauhinia","Y0","180
","P35",100,225
"156","1-9.9cm","naturally_regenerating","Azadirachta indica","Y0","Rr","Rr",100,0
