"","size_class","Tree_type","Species","Timeframe","Site_ID","Tree_per_sq_30m","est_pl_dens"
"85","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","Chantilly-255-24",400,100
"86","1-9.9cm","naturally_regenerating","Quercus","Y0","Chantilly-255-25",200,100
"87","1-9.9cm","naturally_regenerating","Carpinus","Y0","Chantilly-255-26",200,100
"88","1-9.9cm","naturally_regenerating","Populus sp","Y0","Chantilly-255-26",200,100
"89","1-9.9cm","planted","Quercus robur","Y0","Chantilly-451-40",300,0
"90","1-9.9cm","planted","Quercus robur","Y0","Chantilly-451-41",200,0
"91","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","Chantilly-451-42",200,0
"92","1-9.9cm","planted","Quercus robur","Y0","Chantilly-451-42",200,0
"93","1-9.9cm","planted","Sorbus torminalis","Y0","Chantilly-451-42",200,0
"94","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","Chantilly-451-43",100,0
"95","1-9.9cm","naturally_regenerating","Populus","Y0","Chantilly-451-43",300,0
"96","1-9.9cm","naturally_regenerating","Quercus robur","Y0","Chantilly-451-43",100,0
"97","1-9.9cm","planted","Quercus robur","Y0","Chantilly-451-43",200,0
"98","1-9.9cm","naturally_regenerating","Populis","Y0","Chantilly-451-44",400,0
"99","1-9.9cm","naturally_regenerating","Quercus robur","Y0","Chantilly-451-46",800,60
"100","1-9.9cm","naturally_regenerating","Acer campestris","Y0","Chantilly-51-1",300,90
"101","1-9.9cm","naturally_regenerating","Acer pseudoplatanus","Y0","Chantilly-51-3",600,0
"102","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","Chantilly-51-3",300,0
"103","1-9.9cm","naturally_regenerating","Prunus avium","Y0","Chantilly-51-3",200,0
"104","1-9.9cm","naturally_regenerating","Quercus","Y0","Chantilly-51-3",100,0
"105","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","Chantilly-51-4",100,0
"106","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","Chantilly-51-7",100,0
"107","1-9.9cm","naturally_regenerating","Quercus","Y0","Chantilly-523-28",400,90
"108","1-9.9cm","naturally_regenerating","Quercus","Y0","Chantilly-523-29",400,0
"109","1-9.9cm","planted","Larix decidua","Y0","Chantilly-523-30",200,0
"110","1-9.9cm","naturally_regenerating","Quercus","Y0","Chantilly-523-32",300,0
"111","1-9.9cm","planted","Douglas","Y0","Chantilly-523-34",200,0
"112","1-9.9cm","naturally_regenerating","Quercus","Y0","Chantilly-523-34",100,0
"113","1-9.9cm","naturally_regenerating","Quercus","Y0","Chantilly-523-35",300,0
"114","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P35",100,225
"115",">10cm","planted","Acacia auriculiformis","Y0","Rr",2,400
"116","1-9.9cm","naturally_regenerating","Azadirachta indica","Y0","Rr",100,0
"117",">10cm","planted","Azadirachta indica","Y0","Rr",1,400
"118","1-9.9cm","planted","Tectona grandis","Y0","Rr",500,800
