"","tree_data._index","tree_data._parent_index","tree_data._parent_table_name","tree_data.Data_type","tree_data.Number_of_trees","tree_data.Species","tree_data.Tree_type","tree_data.plot_type","tree_data._parent_table"
"984",1,92,NA,"group_qr1fe53",NA,NA,NA,"1x1m","main"
"985",1,93,NA,"group_qr1fe53",NA,NA,NA,"1x1m","main"
"986",1,94,NA,"group_qr1fe53",NA,NA,NA,"1x1m","main"
"987",1,95,NA,"group_qr1fe53",NA,NA,NA,"1x1m","main"
"988",1,96,NA,"group_qr1fe53",NA,NA,NA,"1x1m","main"
"989",1,97,NA,"group_qr1fe53",NA,NA,NA,"1x1m","main"
"990",1,98,NA,"group_qr1fe53",NA,NA,NA,"1x1m","main"
"991",1,99,NA,"group_qr1fe53",NA,NA,NA,"1x1m","main"
"992",1,100,NA,"group_qr1fe53",NA,NA,NA,"1x1m","main"
"993",1,101,NA,"group_qr1fe53",NA,NA,NA,"1x1m","main"
"994",1,102,NA,"group_qr1fe53",NA,NA,NA,"1x1m","main"
"995",1,103,NA,"group_qr1fe53",NA,NA,NA,"1x1m","main"
"996",1,104,NA,"group_qr1fe53",NA,NA,NA,"1x1m","main"
"997",1,1,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"998",1,2,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"999",1,3,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1000",1,4,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1001",1,5,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1002",1,6,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1003",1,7,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1004",1,8,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1005",1,9,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1006",1,10,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1007",1,11,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1008",1,12,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1009",1,13,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1010",1,14,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1011",1,15,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1012",1,16,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1013",1,17,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1014",1,18,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1015",1,19,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1016",1,20,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1017",1,21,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1018",1,22,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1019",1,23,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1020",1,24,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1021",1,25,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1022",1,26,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1023",1,27,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1024",1,28,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1025",1,29,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1026",1,30,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1027",1,31,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1028",1,32,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1029",1,33,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1030",1,34,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1031",1,35,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1032",1,36,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1033",1,37,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1034",1,38,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1035",1,39,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1036",1,40,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1037",1,41,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1038",1,42,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1039",1,43,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1040",1,44,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1041",1,45,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1042",1,46,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1043",1,47,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1044",1,48,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1045",1,49,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1046",1,50,NA,"group_ai86m63","NA","fdf","NA","3x3m_Special","main"
"1047",1,51,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1048",1,52,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1049",1,53,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1050",1,54,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1051",1,55,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1052",1,56,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1053",1,57,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1054",1,58,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1055",1,59,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1056",1,60,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1057",1,61,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1058",1,62,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1059",1,63,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1060",1,64,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1061",1,65,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1062",1,66,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1063",1,67,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1064",1,68,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1065",1,69,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1066",1,70,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1067",1,71,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1068",1,72,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1069",1,73,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1070",1,74,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1071",1,75,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1072",1,76,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1073",1,77,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1074",1,78,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1075",1,79,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1076",1,80,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1077",1,81,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1078",1,82,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1079",1,83,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1080",1,84,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1081",1,85,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1082",1,86,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1083",1,87,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1084",1,88,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1085",1,89,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1086",1,90,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1087",1,91,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1088",1,92,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1089",1,93,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1090",1,94,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1091",1,95,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1092",1,96,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1093",1,97,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1094",1,98,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1095",1,99,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1096",1,100,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1097",1,101,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1098",1,102,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1099",1,103,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1100",1,104,NA,"group_ai86m63","NA",NA,"NA","3x3m_Special","main"
"1101",1,1,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1102",1,2,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1103",1,3,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1104",1,4,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1105",1,5,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1106",1,6,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1107",1,7,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1108",1,8,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1109",1,9,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1110",1,10,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1111",1,11,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1112",1,12,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1113",1,13,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1114",1,14,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1115",1,15,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1116",1,16,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1117",1,17,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1118",1,18,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1119",1,19,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1120",1,20,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1121",1,21,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1122",1,22,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1123",1,23,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1124",1,24,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1125",1,25,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1126",1,26,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1127",1,27,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1128",1,28,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1129",1,29,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1130",1,30,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1131",1,31,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1132",1,32,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1133",1,33,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1134",1,34,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1135",1,35,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1136",1,36,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1137",1,37,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1138",1,38,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1139",1,39,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1140",1,40,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1141",1,41,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1142",1,42,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1143",1,43,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1144",1,44,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1145",1,45,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1146",1,46,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1147",1,47,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1148",1,48,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1149",1,49,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1150",1,50,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1151",1,51,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1152",1,52,NA,"group_oq8nt56","2","Mangifera indica ","naturally_regenerating","10x10m","main"
"1153",2,52,NA,"group_oq8nt56","1","Butea monosperma ","naturally_regenerating","10x10m","main"
"1154",1,53,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1155",1,54,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1156",1,55,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1157",1,56,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1158",1,57,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1159",1,58,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1160",1,59,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1161",1,60,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1162",1,61,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1163",1,62,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1164",1,63,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1165",1,64,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1166",1,65,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1167",1,66,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1168",1,67,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1169",1,68,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1170",1,69,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1171",1,70,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1172",1,71,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1173",1,72,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1174",1,73,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1175",1,74,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1176",1,75,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1177",1,76,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1178",1,77,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1179",1,78,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1180",1,79,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1181",1,80,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1182",1,81,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1183",1,82,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1184",1,83,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1185",1,84,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1186",1,85,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1187",1,86,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1188",1,87,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1189",1,88,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1190",1,89,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1191",1,90,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1192",1,91,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1193",1,92,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1194",1,93,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1195",1,94,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1196",1,95,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1197",1,96,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1198",1,97,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1199",1,98,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1200",1,99,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1201",1,100,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1202",1,101,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1203",1,102,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1204",1,103,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1205",1,104,NA,"group_oq8nt56",NA,NA,NA,"10x10m","main"
"1206",1,1,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1207",1,2,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1208",1,3,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1209",1,4,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1210",1,5,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1211",1,6,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1212",1,7,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1213",1,8,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1214",1,9,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1215",1,10,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1216",1,11,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1217",1,12,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1218",1,13,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1219",1,14,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1220",1,15,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1221",1,16,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1222",1,17,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1223",1,18,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1224",1,19,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1225",1,20,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1226",1,21,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1227",1,22,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1228",1,23,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1229",1,24,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1230",1,25,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1231",1,26,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1232",1,27,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1233",1,28,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1234",1,29,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1235",1,30,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1236",1,31,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1237",1,32,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1238",1,33,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1239",1,34,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1240",1,35,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1241",1,36,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1242",1,37,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1243",1,38,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1244",1,39,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1245",1,40,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1246",1,41,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1247",1,42,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1248",1,43,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1249",1,44,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1250",1,45,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1251",1,46,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1252",1,47,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1253",1,48,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1254",1,49,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1255",1,50,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1256",1,51,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1257",1,52,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1258",1,53,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1259",1,54,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1260",1,55,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1261",1,56,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1262",1,57,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1263",1,58,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1264",1,59,NA,"group_ql6qg69","35","Eucalyptus","Present","30x30m_Special","main"
"1265",1,60,NA,"group_ql6qg69",NA,"Pas d'espèces de 1 à 9,9 cm (DHP)",NA,"30x30m_Special","main"
"1266",1,61,NA,"group_ql6qg69",NA,"None",NA,"30x30m_Special","main"
"1267",1,62,NA,"group_ql6qg69","1","Eucalyptus","Present","30x30m_Special","main"
"1268",2,62,NA,"group_ql6qg69","1","Albizia gummifera","Present","30x30m_Special","main"
"1269",1,63,NA,"group_ql6qg69","2","Lambinana ( nom scientifique??)","Present","30x30m_Special","main"
"1270",2,63,NA,"group_ql6qg69","1","Autre espèce","don_t_know","30x30m_Special","main"
"1271",1,64,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1272",1,65,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1273",1,66,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1274",1,67,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1275",1,68,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1276",1,69,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1277",1,70,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1278",1,71,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1279",1,72,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1280",1,73,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1281",1,74,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1282",1,75,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1283",1,76,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1284",1,77,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1285",1,78,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1286",1,79,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1287",1,80,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1288",1,81,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1289",1,82,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1290",1,83,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1291",1,84,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1292",1,85,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1293",1,86,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1294",1,87,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1295",1,88,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1296",1,89,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1297",1,90,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1298",1,91,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1299",1,92,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1300",1,93,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1301",1,94,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1302",1,95,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1303",1,96,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1304",1,97,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1305",1,98,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1306",1,99,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1307",1,100,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1308",1,101,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1309",1,102,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1310",1,103,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1311",1,104,NA,"group_ql6qg69",NA,NA,NA,"30x30m_Special","main"
"1312",1,1,NA,"group_qs7yn71","NA",NA,"NA","30x30m_Special","main"
"1313",1,2,NA,"group_qs7yn71","NA",NA,"NA","30x30m_Special","main"
"1314",1,3,NA,"group_qs7yn71","NA",NA,"NA","30x30m_Special","main"
"1315",1,4,NA,"group_qs7yn71","NA",NA,"NA","30x30m_Special","main"
"1316",1,5,NA,"group_qs7yn71","NA",NA,"NA","30x30m_Special","main"
"1317",1,6,NA,"group_qs7yn71","NA",NA,"NA","30x30m_Special","main"
"1318",1,7,NA,"group_qs7yn71","NA",NA,"NA","30x30m_Special","main"
"1319",1,8,NA,"group_qs7yn71","NA",NA,"NA","30x30m_Special","main"
"1320",1,9,NA,"group_qs7yn71","NA",NA,"NA","30x30m_Special","main"
"1321",1,10,NA,"group_qs7yn71","NA",NA,"NA","30x30m_Special","main"
"1322",1,11,NA,"group_qs7yn71","NA",NA,"NA","30x30m_Special","main"
"1323",1,12,NA,"group_qs7yn71","NA",NA,"NA","30x30m_Special","main"
