"","tree_data.Species","tree_data._index","tree_data._parent_index","tree_data._parent_table_name","tree_data.Data_type","tree_data.Number_of_trees","tree_data.Tree_type","tree_data.plot_type","tree_data._id","tree_data._parent_table","submitted_name","matched_name2","data_source_title","score","genus_name","family_data_out"
"368","Crescentia cujete",127,73,"main","group_an2yk58",1,"Present","30x30m",NA,NA,"Crescentia cujete","Crescentia cujete","Tropicos - Missouri Botanical Garden",0.988,"Crescentia","Bignoniaceae"
"369","Cupressus lusitanica var lindleyi",3,96,NA,"group_an2yk58",1,"Present","30x30m",229426380,"main","Cupressus lusitanica var lindleyi","Cupressus lusitanica lindleyi","Tropicos - Missouri Botanical Garden",0.999,"Cupressus","Cupressaceae"
"370","Cupressus lusitanica var lindleyi",227,96,"main","group_an2yk58",1,"Present","30x30m",NA,NA,"Cupressus lusitanica var lindleyi","Cupressus lusitanica lindleyi","Tropicos - Missouri Botanical Garden",0.999,"Cupressus","Cupressaceae"
"371","D melonoxylon",1,53,NA,"group_ka7vj63",1,"planted","3x3m within 30x30m",225333642,"main",NA,NA,NA,NA,NA,NA
"372","D melonoxylon",23,53,"main","group_ka7vj63",1,"planted","3x3m within 30x30m",NA,NA,NA,NA,NA,NA,NA,NA
"373","Dalbergia calderonii",114,73,"main","group_an2yk58",1,"Present","30x30m",NA,NA,"Dalbergia calderonii","Dalbergia calderonii","Tropicos - Missouri Botanical Garden",0.988,"Dalbergia","Fabaceae"
"374","Dalbergia calderonii",2,73,NA,"group_an2yk58",1,"Present","30x30m",229320308,"main","Dalbergia calderonii","Dalbergia calderonii","Tropicos - Missouri Botanical Garden",0.988,"Dalbergia","Fabaceae"
"375","Dehaasia triandra",2,49,NA,"group_an2yk58",3,"Present","30x30m",221732781,"main","Dehaasia triandra","Dehaasia triandra","Tropicos - Missouri Botanical Garden",0.988,"Dehaasia","Lauraceae"
"376","Dehaasia triandra",42,49,"main","group_an2yk58",3,"Present","30x30m",NA,NA,"Dehaasia triandra","Dehaasia triandra","Tropicos - Missouri Botanical Garden",0.988,"Dehaasia","Lauraceae"
"377","Dimorphocalyx luzoniensis",6,47,NA,"group_qr1fe53",1,"Present","1x1m",221706815,"main","Dimorphocalyx luzoniensis","Dimorphocalyx luzoniensis","Tropicos - Missouri Botanical Garden",0.988,"Dimorphocalyx","Euphorbiaceae"
"378","Dimorphocalyx luzoniensis",12,49,NA,"group_an2yk58",1,"Present","30x30m",221732781,"main","Dimorphocalyx luzoniensis","Dimorphocalyx luzoniensis","Tropicos - Missouri Botanical Garden",0.988,"Dimorphocalyx","Euphorbiaceae"
"379","Dimorphocalyx luzoniensis",52,49,"main","group_an2yk58",1,"Present","30x30m",NA,NA,"Dimorphocalyx luzoniensis","Dimorphocalyx luzoniensis","Tropicos - Missouri Botanical Garden",0.988,"Dimorphocalyx","Euphorbiaceae"
"380","Dimorphocalyx luzoniensis",11,47,"main","group_qr1fe53",1,"Present","1x1m",NA,NA,"Dimorphocalyx luzoniensis","Dimorphocalyx luzoniensis","Tropicos - Missouri Botanical Garden",0.988,"Dimorphocalyx","Euphorbiaceae"
"381","Diospyros blancoi",10,47,"main","group_qr1fe53",1,"Present","1x1m",NA,NA,"Diospyros blancoi","Diospyros blancoi","Tropicos - Missouri Botanical Garden",0.988,"Diospyros","Ebenaceae"
"382","Diospyros blancoi",5,47,NA,"group_qr1fe53",1,"Present","1x1m",221706815,"main","Diospyros blancoi","Diospyros blancoi","Tropicos - Missouri Botanical Garden",0.988,"Diospyros","Ebenaceae"
"383","Diospyros pyrrhocarpa",18,49,"main","group_qr1fe53",1,"Present","1x1m",NA,NA,"Diospyros pyrrhocarpa","Diospyros pyrrhocarpa","Tropicos - Missouri Botanical Garden",0.988,"Diospyros","Ebenaceae"
