"","submitted_name","matched_name2","user_supplied_name","data_source_title","score","genus_name","family_data_out"
"28","Artocarpus blancoi  (Elmer) Merr.","Artocarpus blancoi",NA,NA,NA,"Artocarpus","Moraceae"
"29","Artocarpus heterophyllous","Artocarpus heterophyllus","Artocarpus heterophyllous","Tropicos - Missouri Botanical Garden","0.75","Artocarpus","Moraceae"
"30","Artocarpus ovatus","Artocarpus ovatus","Artocarpus ovatus","Tropicos - Missouri Botanical Garden","0.988","Artocarpus","Moraceae"
"31","Atriplex canescens","Atriplex canescens","Atriplex canescens","Tropicos - Missouri Botanical Garden","0.988","Atriplex","Amaranthaceae"
"32","Atuna racemosa","Atuna racemosa","Atuna racemosa","The International Plant Names Index","0.988","Atuna","Chrysobalanaceae"
"33","Avicenna marina","Avicennia marina","Avicenna Marina","Tropicos - Missouri Botanical Garden","0.75","Avicennia","Acanthaceae"
"34","Avicenna Marina","Avicennia marina",NA,NA,NA,"Avicennia","Acanthaceae"
"35","Avicenna marina (<1 dbh)","Avicennia marina","Avicenna Marina (<1 DBH)","Tropicos - Missouri Botanical Garden","0.75","Avicennia","Acanthaceae"
"36","Avicenna Marina (<1 DBH)","Avicennia marina",NA,NA,NA,"Avicennia","Acanthaceae"
"37","Avicenna marina (>9.9cm dbh)","Avicennia marina","Avicenna Marina (>9.9cm DBH)","Tropicos - Missouri Botanical Garden","0.75","Avicennia","Acanthaceae"
"38","Avicenna Marina (>9.9cm DBH)","Avicennia marina",NA,NA,NA,"Avicennia","Acanthaceae"
"39","Avicenna marina (1-9.9cm dbh)","Avicennia marina","Avicenna Marina (1-9.9cm DBH)","Tropicos - Missouri Botanical Garden","0.75","Avicennia","Acanthaceae"
"40","Avicenna Marina (1-9.9cm DBH)","Avicennia marina",NA,NA,NA,"Avicennia","Acanthaceae"
"41","Avicennia marina","Avicennia marina","Avicennia marina","The International Plant Names Index","0.988","Avicennia","Acanthaceae"
"42","Avicennia marina (<130cm)","Avicennia marina","Avicennia marina (<130cm)","Tropicos - Missouri Botanical Garden","0.988","Avicennia","Acanthaceae"
"43","Avicennia marina (130-250cm)","Avicennia marina","Avicennia marina (130-250cm)","Tropicos - Missouri Botanical Garden","0.988","Avicennia","Acanthaceae"
"44","Azadirachta excelsa","Azadirachta excelsa","Azadirachta excelsa","Tropicos - Missouri Botanical Garden","0.988","Azadirachta","Meliaceae"
"45","Azadirachta indica","Azadirachta indica","Azadirachta indica","Tropicos - Missouri Botanical Garden","0.988","Azadirachta","Meliaceae"
"46","Azadirachta indica","Azadirachta indica","Azadirachta indica","Tropicos - Missouri Botanical Garden","0.988","Azadirachta","Meliaceae"
"47","Azadirachta indica","Azadirachta indica","Azadirachta indica","Tropicos - Missouri Botanical Garden","0.988","Azadirachta","Meliaceae"
"48","Azadirachta indica","Azadirachta indica","Azadirachta indica","Tropicos - Missouri Botanical Garden","0.988","Azadirachta","Meliaceae"
"49","Bauhinia variegata l.","Bauhinia variegata","Bauhinia variegata L.","Tropicos - Missouri Botanical Garden","0.999","Bauhinia","Fabaceae"
"50","Bauhinia variegata L.","Bauhinia variegata",NA,NA,NA,"Bauhinia","Fabaceae"
"51","Betula pendula","Betula pendula","Betula pendula","The International Plant Names Index","0.988","Betula","Betulaceae"
"52","Betula sp","Betula","Betula sp","Tropicos - Missouri Botanical Garden","0.75","Betula","Betulaceae"
"53","Brosimum alicastrum","Brosimum alicastrum","Brosimum alicastrum","Tropicos - Missouri Botanical Garden","0.988","Brosimum","Moraceae"
"54","Brysonima  crassifolia","Byrsonima crassifolia","Brysonima  crassifolia","Tropicos - Missouri Botanical Garden","0.75","Byrsonima","Malpighiaceae"
"55","Brysonima crassifolia","Byrsonima crassifolia","Brysonima crassifolia","Tropicos - Missouri Botanical Garden","0.75","Byrsonima","Malpighiaceae"
"56","Buchanania arborescens","Buchanania arborescens","Buchanania arborescens","Tropicos - Missouri Botanical Garden","0.988","Buchanania","Anacardiaceae"
