OBJECTID *,Shape *,Site_ID,Country,Org_Name,Site_Name,MERGE_SRC,Site Area (ha),Shape_Length,Shape_Area
866,Polygon ZM,"2,163",Colombia,CI COLOMBIA,L34-1,MUSESI_TERRAMATCH_SEPT,0.0781,0.002489,0
867,Polygon ZM,"2,164",Colombia,CI COLOMBIA,C12-1,MUSESI_TERRAMATCH_SEPT,0.1554,0.003262,0
868,Polygon ZM,"2,165",Colombia,CI COLOMBIA,L35-1,MUSESI_TERRAMATCH_SEPT,0.369,0.002862,0
869,Polygon ZM,"2,166",Colombia,CI COLOMBIA,C29-1,MUSESI_TERRAMATCH_SEPT,0.536,0.003447,0
870,Polygon ZM,"2,167",Colombia,CI COLOMBIA,M01-1,MUSESI_TERRAMATCH_SEPT,0.6255,0.003008,0.000001
871,Polygon ZM,"2,168",Colombia,CI COLOMBIA,M05-1,MUSESI_TERRAMATCH_SEPT,0.2219,0.002111,0
872,Polygon ZM,"2,169",Colombia,CI COLOMBIA,E14-1,MUSESI_TERRAMATCH_SEPT,7.0624,0.008565,0.000006
873,Polygon ZM,"2,170",Colombia,CI COLOMBIA,M05-2,MUSESI_TERRAMATCH_SEPT,0.0948,0.002831,0
874,Polygon ZM,"2,171",Colombia,CI COLOMBIA,M05-3,MUSESI_TERRAMATCH_SEPT,0.0747,0.001754,0
875,Polygon ZM,"2,172",Colombia,CI COLOMBIA,E16-1,MUSESI_TERRAMATCH_SEPT,7.0624,0.008565,0.000006
876,Polygon ZM,"2,173",Colombia,CI COLOMBIA,N06-1,MUSESI_TERRAMATCH_SEPT,0.4146,0.002345,0
877,Polygon ZM,"2,174",Colombia,CI COLOMBIA,E51-1,MUSESI_TERRAMATCH_SEPT,0.317,0.002131,0
878,Polygon ZM,"2,175",Colombia,CI COLOMBIA,N10-1,MUSESI_TERRAMATCH_SEPT,0.581,0.002754,0
879,Polygon ZM,"2,176",Colombia,CI COLOMBIA,N01-1,MUSESI_TERRAMATCH_SEPT,0.0793,0.002945,0
880,Polygon ZM,"2,177",Colombia,CI COLOMBIA,F09-1,MUSESI_TERRAMATCH_SEPT,0.4003,0.002533,0
881,Polygon ZM,"2,178",Colombia,CI COLOMBIA,N11-1,MUSESI_TERRAMATCH_SEPT,1.5422,0.004779,0.000001
882,Polygon ZM,"2,179",Colombia,CI COLOMBIA,F09-2,MUSESI_TERRAMATCH_SEPT,0.6615,0.004648,0.000001
883,Polygon ZM,"2,180",Colombia,CI COLOMBIA,F15-1,MUSESI_TERRAMATCH_SEPT,0.0725,0.003022,0
884,Polygon ZM,"2,181",Colombia,CI COLOMBIA,F19-1,MUSESI_TERRAMATCH_SEPT,2.008,0.00984,0.000002
