"Organization_Name","Site_ID","size_class","Species","Already Present","Planted","Unknown"
"AMBIO","817","<10cm planted","Cordia alliodora",NA,6.58888888888889,NA
"AMBIO","818","1 - 9.9cm","Acacia cornigera",515.333333333333,NA,NA
"AMBIO","818",">10cm","Acacia cornigera",10.3066666666667,NA,NA
"AMBIO","818",">10cm","Cecropia obtusifolia",10.3066666666667,NA,NA
"AMBIO","818",">10cm","Citrus latifolia",15.46,NA,NA
"AMBIO","818",">10cm","Cordia alliodora",77.3,NA,NA
"AMBIO","818",">10cm","Enterolobium cyclocarpum",5.15333333333333,NA,NA
"AMBIO","818",">10cm","Gliricidia sepium",15.46,NA,NA
"AMBIO","818",">10cm","Inga",5.15333333333333,NA,NA
"AMBIO","818",">10cm","Tabebuia rosea",5.15333333333333,NA,NA
"AMBIO","819",">10cm","Citrus sinensis",28.9377777777778,NA,NA
"AMBIO","819",">10cm","Cordia alliodora",7.23444444444444,NA,NA
"AMBIO","819",">10cm","Tabebuia rosea",7.23444444444444,NA,NA
"AMBIO","819","<10cm planted","Tabebuia rosea",NA,7.23444444444444,NA
"AMBIO","820","1 - 9.9cm","Diphysa americana",509,NA,NA
"AMBIO","820",">10cm","Annona purpurea",5.09,NA,NA
"AMBIO","820",">10cm","Cedrela odorata",5.09,NA,NA
"AMBIO","820",">10cm","Coccoloba",15.27,NA,NA
"AMBIO","820",">10cm","Cordia alliodora",20.36,NA,NA
"AMBIO","820",">10cm","Diphysa americana",10.18,NA,NA
"AMBIO","821","1 - 9.9cm","Cedrela odorata",597.037037037037,NA,NA
"AMBIO","821",">10cm","Coccoloba",5.97037037037037,NA,NA
"AMBIO","821",">10cm","Cordia alliodora",95.5259259259259,NA,NA
"AMBIO","821",">10cm","Enterolobium cyclocarpum",5.97037037037037,NA,NA
"AMBIO","821",">10cm","Gliricidia sepium",47.762962962963,NA,NA
"AMBIO","822","1 - 9.9cm","Cedrela odorata",252.277777777778,NA,NA
"AMBIO","822",">10cm","Cecropia obtusifolia",7.56833333333333,NA,NA
"AMBIO","822",">10cm","Cordia alliodora",5.04555555555556,NA,NA
"AMBIO","823",">10cm","Cecropia",8.19555555555556,NA,NA
"AMBIO","823",">10cm","Cojoba",8.19555555555556,NA,NA
"AMBIO","823",">10cm","Croton",24.5866666666667,NA,NA
"AMBIO","823",">10cm","Gliricidia sepium",40.9777777777778,NA,NA
"AMBIO","823",">10cm","Guazuma ulmifolia",40.9777777777778,NA,NA
"AMBIO","823",">10cm","Inga",8.19555555555556,NA,NA
"AMBIO","823",">10cm","Sapindus saponaria",24.5866666666667,NA,NA
"AMBIO","824","1 - 9.9cm","Cordia alliodora",156.111111111111,NA,NA
"AMBIO","824",">10cm","Byrsonima crassifolia",4.68333333333333,NA,NA
"AMBIO","824",">10cm","Cecropia",4.68333333333333,NA,NA
"AMBIO","824",">10cm","Cordia alliodora",14.05,NA,NA
"AMBIO","824",">10cm","Diphysa americana",4.68333333333333,NA,NA
"AMBIO","824",">10cm","Guazuma ulmifolia",4.68333333333333,NA,NA
"AMBIO","825","1 - 9.9cm","Gliricidia sepium",513.777777777778,NA,NA
"AMBIO","825",">10cm","Cordia alliodora",46.24,NA,NA
"AMBIO","825",">10cm","Croton",15.4133333333333,NA,NA
"AMBIO","825",">10cm","Gliricidia sepium",51.3777777777778,NA,NA
"AMBIO","828",">10cm","Cedrela odorata",14.8955555555556,NA,NA
"AMBIO","828",">10cm","Cojoba",44.6866666666667,NA,NA
"AMBIO","828",">10cm","Cordia alliodora",29.7911111111111,NA,NA
"AMBIO","828",">10cm","Guazuma ulmifolia",29.7911111111111,NA,NA
"AMBIO","828",">10cm","Hymenaea courbaril",7.44777777777778,NA,NA
"AMBIO","828",">10cm","Inga",59.5822222222222,NA,NA
"AMBIO","828",">10cm","Mangifera indica",7.44777777777778,NA,NA
"AMBIO","828",">10cm","Platymiscium yucatanum",22.3433333333333,NA,NA
"AMBIO","828",">10cm","Spondias mombin",67.03,NA,NA
"AMBIO","831",">10cm","Acacia",65.9011111111111,NA,NA
"AMBIO","831",">10cm","Quercus",18.8288888888889,NA,NA
"AMBIO","832","1 - 9.9cm","Citrus sinensis",376.962962962963,NA,NA
"AMBIO","832",">10cm","Citrus sinensis",11.3088888888889,NA,NA
"AMBIO","832",">10cm","Inga",11.3088888888889,NA,NA
"AMBIO","833",">10cm","Byrsonima crassifolia",25.7866666666667,NA,NA
"AMBIO","833",">10cm","Cedrela odorata",38.68,NA,NA
"AMBIO","833",">10cm","Enterolobium cyclocarpum",38.68,NA,NA
"AMBIO","833",">10cm","Inga",12.8933333333333,NA,NA
"AMBIO","833",">10cm","Persea americana",12.8933333333333,NA,NA
"AMBIO","833",">10cm","Quercus",12.8933333333333,NA,NA
"Amadese","1744","1 - 9.9cm","Dalbergia monticola",0,NA,NA
"Amadese","1744","1 - 9.9cm","Grevillea banksii",839.024390243902,NA,NA
"Amadese","1744","<1cm","Ocotea",0,NA,NA
"Amadese","1744",">10cm","Eucalyptus",13.9837398373984,NA,NA
"Amadese","1744",">10cm","Eucalyptus robusta",50.3414634146341,NA,109.073170731707
"Amadese","1744",">10cm","Ficus tiliifolia",11.1869918699187,NA,NA
"Amadese","1744","<10cm planted","Intsia bijuga",NA,4253.85365853659,NA
"Amadese","1744","<10cm planted","Malus",NA,117.463414634146,NA
"Amadese","1744","<10cm planted","Trachylobium verrucosum",NA,4950.24390243902,NA
"Amadese","1744","1 - 9.9cm","Albizia gummifera",NA,NA,100.682926829268
"Amadese","1744","1 - 9.9cm","Eucalyptus robusta",NA,NA,578.926829268293
"Amadese","1745","1 - 9.9cm","Brachylaena perrieri",33.1055555555556,NA,NA
"Amadese","1745",">10cm","Albizia gummifera",132.422222222222,NA,NA
"Amadese","1745",">10cm","Eugenia",26.4844444444444,NA,NA
"Amadese","1745","<10cm planted","Citrus sinensis",NA,231.738888888889,NA
"Amadese","1747","1 - 9.9cm","Psidium guajava",386.111111111111,NA,NA
"Amadese","1747",">10cm","Eucalyptus robusta",0.429012345679012,NA,NA
"Amadese","1747",">10cm","Eugenia",0.429012345679012,NA,NA
"Amadese","1747",">10cm","Ficus megapoda",1.71604938271605,NA,NA
"Amadese","1747","<10cm planted","Citrus sinensis",NA,18.0185185185185,NA
"Amadese","1747","<10cm planted","Litchi chinensis",NA,2.57407407407407,NA
"Amadese","1747","<10cm planted","Mangifera indica",NA,1.28703703703704,NA
"Amadese","1748",">10cm","Eucalyptus robusta",62.4827655110401,NA,NA
"Amadese","1748",">10cm","Syzygium guineense",12.496553102208,NA,NA
"Amadese","1748","<10cm planted","Citrus sinensis",NA,99.9724248176641,NA
"Amadese","1748","<10cm planted","Coffea",NA,212.441402737536,NA
"Amadese","1748","<10cm planted","Intsia bijuga",NA,7535.42152063143,NA
"Amadese","1748","<10cm planted","Mangifera",NA,37.489659306624,NA
"Amadese","1748","<10cm planted","Trachylobium verrucosum",NA,12209.1323808572,NA
"Amadese","1748","<10cm planted","Trema orientalis",NA,62.4827655110401,NA
"Amadese","1748","1 - 9.9cm","Albizia gummifera",NA,NA,9997.24248176641
"Amadese","1748","<1cm","Pinus patula",NA,NA,11246.8977919872
"Amadese","1749","1 - 9.9cm","Albizia gummifera",1478.85561728395,NA,NA
"Amadese","1749","1 - 9.9cm","Entada louvelii",1447.01422839506,NA,NA
"Amadese","1749","1 - 9.9cm","Eucalyptus robusta",12757.7831481481,NA,NA
"Amadese","1749","1 - 9.9cm","Pinus",21.2275925925926,NA,NA
"Amadese","1749","1 - 9.9cm","Psiadia altissima",31.8413888888889,NA,NA
"Amadese","1749","1 - 9.9cm","Psidium guajava",1082.60722222222,NA,NA
"Amadese","1749","<1cm","Albizia gummifera",28657.25,NA,NA
"Amadese","1749","<1cm","Psidium guajava",9552.41666666667,NA,NA
"Amadese","1749",">10cm","Albizia gummifera",127.365555555556,NA,NA
"Amadese","1749",">10cm","Citrus sinensis",95.5241666666667,NA,NA
"Amadese","1749",">10cm","Entada louvelii",127.365555555556,NA,NA
"Amadese","1749",">10cm","Eucalyptus",53.0689814814815,NA,NA
"Amadese","1749",">10cm","Eucalyptus robusta",704.048487654321,NA,NA
"Amadese","1749",">10cm","Harungana madagascariensis",106.137962962963,NA,NA
"Amadese","1749",">10cm","Macaranga obovata",74.2965740740741,NA,NA
