"Organization_Name","Site_ID","size_class","Already Present","Planted","Unknown"
"Amadese","1763","<1cm",258649.97038416,NA,24633.3305127771
"Amadese","1763",">10cm",205.277754273143,NA,NA
"Amadese","1763","<10cm planted",NA,58394.6784989,NA
"Amadese","1763",">1cm",NA,NA,8211.11017092571
"Amadese","1764","1 - 9.9cm",2837.83333333333,NA,NA
"Amadese","1764",">10cm",14.1891666666667,NA,NA
"Amadese","1764","<10cm planted",NA,4909.45166666667,NA
"Amadese","1765","<10cm planted",NA,5176.81388888889,NA
"Amadese","1766","1 - 9.9cm",12154.5652173913,NA,NA
"Amadese","1766",">10cm",33.7626811594203,NA,NA
"Amadese","1766","<10cm planted",NA,10675.7597826087,NA
"Amadese","1767","<10cm planted",NA,14.5666666666667,NA
"Amadese","1768","<10cm planted",NA,3578.83783783784,NA
"Amadese","1769","<10cm planted",NA,14.0177777777778,NA
"Amadese","1770","1 - 9.9cm",3135.02777777778,NA,NA
"Amadese","1770",">10cm",50.7575925925926,NA,NA
"Amadese","1770","<10cm planted",NA,3475.40222222222,NA
"Amadese","1771","<10cm planted",NA,2542.225,NA
"Amadese","1772","<10cm planted",NA,2963.5,NA
"Amadese","1773","1 - 9.9cm",1018.27160493827,NA,NA
"Amadese","1773",">10cm",81.4617283950617,NA,NA
"Amadese","1773","<10cm planted",NA,17870.6666666667,NA
"Amadese","1774","1 - 9.9cm",7764.16666666667,NA,NA
"Amadese","1774",">10cm",28.2333333333333,NA,NA
"Amadese","1774","<10cm planted",NA,5576.08333333333,NA
"Amadese","1775","<10cm planted",NA,1025.82444444444,NA
"Amadese","1776","1 - 9.9cm",754.12962962963,NA,NA
"Amadese","1776",">10cm",28.2798611111111,NA,NA
"Amadese","1776","<10cm planted",NA,5565.47666666667,NA
"Amadese","1777","1 - 9.9cm",1410.22222222222,NA,NA
"Amadese","1777",">10cm",3.52555555555556,NA,NA
"Amadese","1777","<10cm planted",NA,21.1533333333333,NA
"Amadese","1778","<10cm planted",NA,28.1866666666667,NA
"Amadese","1779","<10cm planted",NA,189.385263157895,NA
"Amadese","1780","<10cm planted",NA,248.157777777778,NA
"Amadese","1781","1 - 9.9cm",1106.33333333333,NA,NA
"Amadese","1781",">10cm",13.8291666666667,NA,NA
"Amadese","1781","<10cm planted",NA,539.3375,NA
"Amadese","1782",">10cm",4.32222222222222,NA,NA
