"Tree_type","Species","size_class","Tree_per_sq_30m","main_data.Enter_a_date","main_data.Country","main_data.Site_ID","main_data.Timeframe","main_data.Plot_ID","main_data.Plot_Type","main_data.Plot_Permanence","main_data.Resampling1","main_data.PlantingPattern","main_data.Resampling2","main_data.X_id"
"Present","Erythrina coralloides",">10cm",1,"2023-03-29","Mexico","295","Y0","295-22","Restoration","Permanent",0,"3 por 3 metros",0,229320531
"Present","Guazuma ulmifolia",">10cm",3,"2023-03-29","Mexico","295","Y0","295-22","Restoration","Permanent",0,"3 por 3 metros",0,229320531
"Present","Heamatoxylum campechianum",">10cm",1,"2023-03-29","Mexico","295","Y0","295-22","Restoration","Permanent",0,"3 por 3 metros",0,229320531
"Present","Quercus rugoza nee",">10cm",12,"2023-03-29","Mexico","295","Y0","295-22","Restoration","Permanent",0,"3 por 3 metros",0,229320531
"Present","Guazuma ulmifolia","1-9.9cm",100,"2023-03-29","Mexico","295","Y0","295-22","Restoration","Permanent",0,"3 por 3 metros",0,229320531
"Present","Platymisciun dimhorphan donn.sm.","1-9.9cm",300,"2023-03-29","Mexico","295","Y0","295-22","Restoration","Permanent",0,"3 por 3 metros",0,229320531
"Present","Conostegia xalapensis","<1cm",2700,"2023-03-29","Mexico","295","Y0","295-20","Restoration","Permanent",0,"3 por 3 metros",0,229320308
"Present","Acacia caven",">10cm",1,"2023-03-29","Mexico","295","Y0","295-20","Restoration","Permanent",0,"3 por 3 metros",0,229320308
"Present","Bursera simaruba",">10cm",6,"2023-03-29","Mexico","295","Y0","295-20","Restoration","Permanent",0,"3 por 3 metros",0,229320308
"Present","Cedrela odorata",">10cm",1,"2023-03-29","Mexico","295","Y0","295-20","Restoration","Permanent",0,"3 por 3 metros",0,229320308
"Present","Cochlospermum vitifolium",">10cm",7,"2023-03-29","Mexico","295","Y0","295-20","Restoration","Permanent",0,"3 por 3 metros",0,229320308
"Present","Conostegia xalapensis",">10cm",5,"2023-03-29","Mexico","295","Y0","295-20","Restoration","Permanent",0,"3 por 3 metros",0,229320308
"Present","Crescentia cujete",">10cm",1,"2023-03-29","Mexico","295","Y0","295-20","Restoration","Permanent",0,"3 por 3 metros",0,229320308
"Present","Dalbergia calderonii",">10cm",1,"2023-03-29","Mexico","295","Y0","295-20","Restoration","Permanent",0,"3 por 3 metros",0,229320308
"Present","Enterolabium cyclocarpum",">10cm",1,"2023-03-29","Mexico","295","Y0","295-20","Restoration","Permanent",0,"3 por 3 metros",0,229320308
"Present","Gliricidia sepium",">10cm",1,"2023-03-29","Mexico","295","Y0","295-20","Restoration","Permanent",0,"3 por 3 metros",0,229320308
"Present","Heamatoxylum campechianum",">10cm",16,"2023-03-29","Mexico","295","Y0","295-20","Restoration","Permanent",0,"3 por 3 metros",0,229320308
"Present","Platymisciun dimhorphan",">10cm",3,"2023-03-29","Mexico","295","Y0","295-20","Restoration","Permanent",0,"3 por 3 metros",0,229320308
"Present","Psidium sartorianum",">10cm",1,"2023-03-29","Mexico","295","Y0","295-20","Restoration","Permanent",0,"3 por 3 metros",0,229320308
"Present","Sapindus saponaria",">10cm",1,"2023-03-29","Mexico","295","Y0","295-20","Restoration","Permanent",0,"3 por 3 metros",0,229320308
"Present","Trichilia trifolia",">10cm",1,"2023-03-29","Mexico","295","Y0","295-20","Restoration","Permanent",0,"3 por 3 metros",0,229320308
"Present","Conostegia xalapensis","1-9.9cm",100,"2023-03-29","Mexico","295","Y0","295-20","Restoration","Permanent",0,"3 por 3 metros",0,229320308
"Present","Acacia caven",">10cm",1,"2023-03-29","Mexico","295","Y0","295-23","Restoration","Permanent",0,"3 m por 3 m",0,229327028
"Present","Brysonima crassifolia",">10cm",1,"2023-03-29","Mexico","295","Y0","295-23","Restoration","Permanent",0,"3 m por 3 m",0,229327028
"Present","Bursera copallifera",">10cm",1,"2023-03-29","Mexico","295","Y0","295-23","Restoration","Permanent",0,"3 m por 3 m",0,229327028
"Present","Leucaena esculenta",">10cm",1,"2023-03-29","Mexico","295","Y0","295-23","Restoration","Permanent",0,"3 m por 3 m",0,229327028
"Present","Quercus rugosa",">10cm",11,"2023-03-29","Mexico","295","Y0","295-23","Restoration","Permanent",0,"3 m por 3 m",0,229327028
"Present","Heamatoxylum campechianum","<1cm",900,"2023-03-28","Mexico","295","Y0","295-13","Restoration","Permanent",0,"3 m por 3 m",0,229325806
"Present","Acacia caven",">10cm",1,"2023-03-28","Mexico","295","Y0","295-13","Restoration","Permanent",0,"3 m por 3 m",0,229325806
"Present","Cojoba  arborea",">10cm",3,"2023-03-28","Mexico","295","Y0","295-13","Restoration","Permanent",0,"3 m por 3 m",0,229325806
"Present","Lonchocarpus rugosus",">10cm",2,"2023-03-28","Mexico","295","Y0","295-13","Restoration","Permanent",0,"3 m por 3 m",0,229325806
"Present","Quercus  rugosa",">10cm",7,"2023-03-28","Mexico","295","Y0","295-13","Restoration","Permanent",0,"3 m por 3 m",0,229325806
"Present","Cojoba arborea","1-9.9cm",100,"2023-03-28","Mexico","295","Y0","295-13","Restoration","Permanent",0,"3 m por 3 m",0,229325806
"Present","Acacia caven",">10cm",3,"2023-03-28","Mexico","295","Y0","295-12","Restoration","Permanent",0,"3 m por 3 m",0,229325609
"Present","Brysonima  crassifolia",">10cm",1,"2023-03-28","Mexico","295","Y0","295-12","Restoration","Permanent",0,"3 m por 3 m",0,229325609
"Present","Bursera simaruba",">10cm",2,"2023-03-28","Mexico","295","Y0","295-12","Restoration","Permanent",0,"3 m por 3 m",0,229325609
"Present","Cochlospermum vitifolium",">10cm",1,"2023-03-28","Mexico","295","Y0","295-12","Restoration","Permanent",0,"3 m por 3 m",0,229325609
"Present","Quercus rugosa",">10cm",18,"2023-03-28","Mexico","295","Y0","295-12","Restoration","Permanent",0,"3 m por 3 m",0,229325609
