"","tree_data.Species","X","tree_data._index","tree_data._parent_index","tree_data._parent_table_name","tree_data._validation_status","tree_data.Data_type","tree_data.LittleTreesPresent","tree_data.Note111","tree_data.Notes21","tree_data.Number_of_trees","tree_data.Resampling2","tree_data.Tree_type","tree_data.plot_type","tree_data.Additional_Photos_Optional3","tree_data.Centroid_of_3m_x_3m_Subplot2","tree_data.Centroid_of_3m_x_3m_Subplot2_altitude","tree_data.Centroid_of_3m_x_3m_Subplot2_latitude","tree_data.Centroid_of_3m_x_3m_Subplot2_longitude","tree_data.Centroid_of_3m_x_3m_Subplot2_precision","tree_data.Centroid_of_3m_x_3m_Subplot2_wkt","tree_data.Description_of_subpl_ithin_30m_x_30m_plot2","tree_data.Note22","tree_data.Notes17","tree_data.File","tree_data.Note_Tiny","tree_data.Note2","tree_data.Note4","tree_data.Notes5","tree_data.Note24","tree_data.Notes14","tree_data.Photos4","tree_data.Note35","tree_data.TinyTrees","tree_data.Additional_Photos_Optional1","tree_data.Centroid_of_3m_x_3m_Subplot1","tree_data.Centroid_of_3m_x_3m_Subplot1_altitude","tree_data.Centroid_of_3m_x_3m_Subplot1_latitude","tree_data.Centroid_of_3m_x_3m_Subplot1_longitude","tree_data.Centroid_of_3m_x_3m_Subplot1_precision","tree_data.Centroid_of_3m_x_3m_Subplot1_wkt","tree_data.Description_of_subpl_ithin_30m_x_30m_plot1","tree_data.Note21","tree_data.Notes11","tree_data.Note3","submitted_name","matched_name2","data_source_title","score","genus_name","family_data_out"
"14","Eugenia aff cloiselii",11219,3299,2072,"main",NA,"PlantedTrees3",NA,NA,NA,12,NA,NA,"30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Harungana madagacarinesis",7261,151,1240,"main",NA,"group_qs7yn71",NA,NA,NA,115,NA,NA,"30x30m_Special",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Harungana madagascariensis",10237,2317,1712,"main",NA,"PlantedTrees3",NA,NA,NA,65,NA,NA,"30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harungana madagascariensis","Harungana madagascariensis","Tropicos - Missouri Botanical Garden",0.988,"Harungana","Hypericaceae"
"17","Harungana madagascariensis",11173,3253,2060,"main",NA,"PlantedTrees3",NA,NA,NA,9,NA,NA,"30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harungana madagascariensis","Harungana madagascariensis","Tropicos - Missouri Botanical Garden",0.988,"Harungana","Hypericaceae"
"18","Harungana madagascarinesis",9479,1559,1294,"main",NA,"PlantedTrees3",NA,NA,NA,177,NA,NA,"30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harungana madagascarinesis","Harungana madagascariensis","Tropicos - Missouri Botanical Garden",0.75,"Harungana","Hypericaceae"
"19","Harungana madagascarnesis",10122,2202,1653,"main",NA,"PlantedTrees3",NA,NA,NA,2,NA,NA,"30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harungana madagascarnesis","Harungana madagascariensis","Tropicos - Missouri Botanical Garden",0.75,"Harungana","Hypericaceae"
"20","Intsia bijuga",10960,3040,1985,"main",NA,"PlantedTrees3",NA,NA,NA,73,NA,NA,"30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intsia bijuga","Intsia bijuga","Tropicos - Missouri Botanical Garden",0.988,"Intsia","Fabaceae"
"21","Intsia bijuga",11055,3135,2023,"main",NA,"PlantedTrees3",NA,NA,NA,41,NA,NA,"30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intsia bijuga","Intsia bijuga","Tropicos - Missouri Botanical Garden",0.988,"Intsia","Fabaceae"
"22","Intsia bijuga",10279,2359,1731,"main",NA,"PlantedTrees3",NA,NA,NA,86,NA,NA,"30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intsia bijuga","Intsia bijuga","Tropicos - Missouri Botanical Garden",0.988,"Intsia","Fabaceae"
"23","Lombricillo",4335,4335,2138,"main",NA,"group_an2yk58",NA,NA,NA,2,NA,"Present","30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
