"","tree_data.Species","tree_data._index","tree_data._parent_index","tree_data._parent_table_name","tree_data.Data_type","tree_data.Number_of_trees","tree_data.Tree_type","tree_data.plot_type","tree_data._id","tree_data._parent_table","submitted_name","matched_name2","data_source_title","score","genus_name","family_data_out"
"1",".",2,136,NA,"group_qs7yn71",NA,NA,"30x30m_Special",232559601,"main",NA,NA,NA,NA,NA,NA
"2",".",34,136,"main","group_qs7yn71",NA,NA,"30x30m_Special",NA,NA,NA,NA,NA,NA,NA,NA
"3","Acacia auriculiformis",1,56,NA,"group_an2yk58",22,"Present","30x30m",225495251,"main","Acacia auriculiformis","Acacia auriculiformis","The International Plant Names Index",0.988,"Acacia","Fabaceae"
"4","Acacia auriculiformis",1,55,NA,"group_an2yk58",2,"planted","30x30m",225494696,"main","Acacia auriculiformis","Acacia auriculiformis","The International Plant Names Index",0.988,"Acacia","Fabaceae"
"5","Acacia auriculiformis",55,55,"main","group_an2yk58",2,"planted","30x30m",NA,NA,"Acacia auriculiformis","Acacia auriculiformis","The International Plant Names Index",0.988,"Acacia","Fabaceae"
"6","Acacia auriculiformis",57,56,"main","group_an2yk58",22,"Present","30x30m",NA,NA,"Acacia auriculiformis","Acacia auriculiformis","The International Plant Names Index",0.988,"Acacia","Fabaceae"
"7","Acacia caven",4,89,NA,"group_an2yk58",2,"Present","30x30m",229326643,"main","Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"8","Acacia caven",3,72,NA,"group_an2yk58",2,"Present","30x30m",229302486,"main","Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"9","Acacia caven",125,73,"main","group_an2yk58",1,"Present","30x30m",NA,NA,"Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"10","Acacia caven",2,72,NA,"group_ka7vj63",1,"Present","3x3m within 30x30m",229302486,"main","Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"11","Acacia caven",1,77,NA,"group_ka7vj63",1,"Present","3x3m within 30x30m",229321374,"main","Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"12","Acacia caven",47,88,"main","group_qr1fe53",2,"Present","1x1m",NA,NA,"Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"13","Acacia caven",178,84,"main","group_an2yk58",1,"Present","30x30m",NA,NA,"Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"14","Acacia caven",1,81,NA,"group_ka7vj63",2,"Present","3x3m within 30x30m",229321982,"main","Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
