"","geolocation.lat","geolocation.lon","geolocation._index","geolocation._parent_index","geolocation._parent_table","geolocation.Data_type","geolocation._id"
"89",16.0528823,-93.3641716,1,89,"main","_geolocation",229326643
"90",16.0571104,-93.3654843,1,90,"main","_geolocation",229326727
"91",16.0564346,-93.3647328,1,91,"main","_geolocation",229326839
"92",16.0550032,-93.3638953,1,92,"main","_geolocation",229327028
"93",16.0542856,-93.3632528,1,93,"main","_geolocation",229327138
"94",15.6168764,-92.602764,1,94,"main","_geolocation",229426328
"95",15.6165363,-92.6028376,1,95,"main","_geolocation",229426361
"96",15.6166588,-92.6032921,1,96,"main","_geolocation",229426380
"97",15.6169132,-92.6029948,1,97,"main","_geolocation",229426408
"98",15.5475737,-92.5479681,1,98,"main","_geolocation",229426458
"99",15.5478256,-92.5489788,1,99,"main","_geolocation",229426516
"100",15.547691,-92.5482843,1,100,"main","_geolocation",229426542
"101",15.582385,-92.6308176,1,101,"main","_geolocation",229426589
"102",15.5826929,-92.6312778,1,102,"main","_geolocation",229426624
"103",15.5827736,-92.6315717,1,103,"main","_geolocation",229426644
"104",-19.5159104,-42.5628554,1,104,"main","_geolocation",229844564
"105",-17.667704,48.5539658,1,105,"main","_geolocation",232553701
"106",-17.6537754,48.5362324,1,106,"main","_geolocation",232553738
"107",-17.6494747,48.5645977,1,107,"main","_geolocation",232553842
"108",-17.6755305,48.6316311,1,108,"main","_geolocation",232554131
"109",-17.6630396,48.6166541,1,109,"main","_geolocation",232554307
"110",-17.6369167,48.630605,1,110,"main","_geolocation",232554472
"111",-17.6446717,48.6255033,1,111,"main","_geolocation",232554606
"112",-17.6589661,48.6292921,1,112,"main","_geolocation",232554779
"113",-17.6693107,48.6263501,1,113,"main","_geolocation",232555069
"114",-17.7606305,48.632467,1,114,"main","_geolocation",232555260
"115",-17.7627643,48.6334623,1,115,"main","_geolocation",232555418
"116",-17.7514089,48.6121967,1,116,"main","_geolocation",232555570
"117",-17.7481025,48.6102142,1,117,"main","_geolocation",232556156
"118",-17.7463564,48.6281667,1,118,"main","_geolocation",232556207
"119",-17.7477533,48.6309567,1,119,"main","_geolocation",232556252
"120",-17.7540633,48.6498367,1,120,"main","_geolocation",232556387
"121",-17.7481951,48.6630428,1,121,"main","_geolocation",232556509
"122",-17.750005,48.66576,1,122,"main","_geolocation",232556710
"123",-17.7689083,48.673055,1,123,"main","_geolocation",232556854
"124",-17.7672187,48.6771799,1,124,"main","_geolocation",232557364
"125",-17.7601033,48.6867717,1,125,"main","_geolocation",232557424
"126",-17.7591983,48.6868333,1,126,"main","_geolocation",232557509
"127",-17.7958503,48.6199204,1,127,"main","_geolocation",232557775
"128",-17.7936641,48.6200212,1,128,"main","_geolocation",232557910
"129",-17.7937791,48.6194333,1,129,"main","_geolocation",232558061
"130",-17.7897278,48.6213052,1,130,"main","_geolocation",232558609
"131",-17.7806114,48.6398146,1,131,"main","_geolocation",232558652
"132",-17.7966834,48.666337,1,132,"main","_geolocation",232558769
"133",-17.7963083,48.663195,1,133,"main","_geolocation",232559067
"134",-17.7986716,48.6602843,1,134,"main","_geolocation",232559277
"135",-17.7919381,48.6557871,1,135,"main","_geolocation",232559459
"136",-17.787721,48.6574268,1,136,"main","_geolocation",232559601
"137",-17.7936363,48.6634989,1,137,"main","_geolocation",232559850
"138",-17.794325,48.6767417,1,138,"main","_geolocation",232560095
"139",-17.799421,48.6877822,1,139,"main","_geolocation",232560330
"140",-17.788655,48.6888117,1,140,"main","_geolocation",232560451
"141",-17.7847383,48.6845367,1,141,"main","_geolocation",232560674
"142",-17.7795707,48.6873071,1,142,"main","_geolocation",232560864
"143",-17.83401,48.67543,1,143,"main","_geolocation",232561773
"144",-17.8330717,48.6692626,1,144,"main","_geolocation",232561828
"145",-17.8151467,48.687125,1,145,"main","_geolocation",232561903
"146",-17.8165916,48.6919211,1,146,"main","_geolocation",232562121
"147",-17.8137353,48.6870801,1,147,"main","_geolocation",232562521
"148",-17.8096906,48.6864284,1,148,"main","_geolocation",232562628
"149",-17.7706833,48.6808789,1,149,"main","_geolocation",232562984
"150",-17.7763781,48.6845749,1,150,"main","_geolocation",232563270
"151",-17.7797323,48.6545033,1,151,"main","_geolocation",232563463
"152",-17.7931365,48.6451353,1,152,"main","_geolocation",232563695
"153",-17.7866365,48.6470985,1,153,"main","_geolocation",232564062
"154",-17.6851767,48.6138083,1,154,"main","_geolocation",232564140
"155",15.6050741,-92.616388,1,155,"main","_geolocation",232742742
"156",15.6043382,-92.6159491,1,156,"main","_geolocation",232748411
"157",15.5937904,-92.6599363,1,157,"main","_geolocation",232759960
"158",15.5935108,-92.6596142,1,158,"main","_geolocation",232761648
"159",15.5940863,-92.6598751,1,159,"main","_geolocation",232763212
"160",15.5944161,-92.6613748,1,160,"main","_geolocation",232765841
"161",15.5968567,-92.6423107,1,161,"main","_geolocation",232772835
"162",15.591816,-92.6567662,1,162,"main","_geolocation",232774002
"163",15.5958488,-92.6506714,1,163,"main","_geolocation",233374663
"164",15.5967422,-92.6425736,1,164,"main","_geolocation",233376047
"165",25.535384,55.629235,1,165,"main","_geolocation",233824460
