"Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe"
"Litchi","planted",4,"<10cm planted","1841","S0098MP1","Madagascar","Taotsara","Restoration","Restoration","30x30",644,924,"main","Planted_30x30","Permanent","0","0","10*10","Y0"
"Syzygium aromaticum","planted",1,"<10cm planted","1841","S0098MP1","Madagascar","Taotsara","Restoration","Restoration","30x30",645,924,"main","Planted_30x30","Permanent","0","0","10*10","Y0"
"Citrus sinensis","planted",4,"<10cm planted","1892","S0149MP3","Madagascar","Taotsara","Restoration","Restoration","30x30",646,925,"main","Planted_30x30","Permanent","0","0","7 m sur 7 m","Y0"
"Citrus sinensis","planted",37,"<10cm planted","1851","S0108","Madagascar","Taotsara","Restoration","Restoration","30x30",647,926,"main","Planted_30x30","Permanent","0","2","5m*5m","Y0"
"Coffea","planted",25,"<10cm planted","1851","S0108","Madagascar","Taotsara","Restoration","Restoration","30x30",648,926,"main","Planted_30x30","Permanent","0","2","5m*5m","Y0"
"Spondias dulcis","planted",11,"<10cm planted","1851","S0108","Madagascar","Taotsara","Restoration","Restoration","30x30",649,926,"main","Planted_30x30","Permanent","0","2","5m*5m","Y0"
"Harungana madagascariens","planted",131,"<10cm planted","1851","S0108 Mp10","Madagascar","Taotsara","Restoration","Restoration","30x30",650,927,"main","Planted_30x30","Permanent","0","0","2*2","Y0"
"Albizia lebbeck","planted",41,"<10cm planted","1851","S0108 Mp10","Madagascar","Taotsara","Restoration","Restoration","30x30",651,927,"main","Planted_30x30","Permanent","0","0","2*2","Y0"
"Syzygium aromaticum","planted",8,"<10cm planted","1836","S0093MP12","Madagascar","Taotsara","Restoration","Restoration","30x30",652,928,"main","Planted_30x30","Permanent","2","0","Trees were planted with a 10m by 10m spacing.","Y0"
"Citrus sinensis","planted",6,"<10cm planted","1836","S0093MP12","Madagascar","Taotsara","Restoration","Restoration","30x30",653,928,"main","Planted_30x30","Permanent","2","0","Trees were planted with a 10m by 10m spacing.","Y0"
"Coffea arabica","planted",8,"<10cm planted","1836","S0093MP12","Madagascar","Taotsara","Restoration","Restoration","30x30",654,928,"main","Planted_30x30","Permanent","2","0","Trees were planted with a 10m by 10m spacing.","Y0"
"Intsia bijuga","planted",1,"<10cm planted","1892","S0149MP4","Madagascar","Taotsara","Restoration","Restoration","30x30",655,929,"main","Planted_30x30","Permanent","0","0","2 m sur 2 m","Y0"
"Harungana madagascariensis","planted",60,"<10cm planted","1892","S0149MP4","Madagascar","Taotsara","Restoration","Restoration","30x30",656,929,"main","Planted_30x30","Permanent","0","0","2 m sur 2 m","Y0"
"Albizia lebbeck","planted",14,"<10cm planted","1892","S0149MP4","Madagascar","Taotsara","Restoration","Restoration","30x30",657,929,"main","Planted_30x30","Permanent","0","0","2 m sur 2 m","Y0"
"Trachylobium verrucosum","planted",87,"<10cm planted","1859","S0116MP01","Madagascar","Taotsara","Restoration","Restoration","30x30",658,930,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 2m by 2m spacing","Y0"
"Intsia bijuga","planted",13,"<10cm planted","1859","S0116MP01","Madagascar","Taotsara","Restoration","Restoration","30x30",659,930,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 2m by 2m spacing","Y0"
"Albizia lebbeck","planted",28,"<10cm planted","1859","S0116MP01","Madagascar","Taotsara","Restoration","Restoration","30x30",660,930,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 2m by 2m spacing","Y0"
"Harungana madagascarensis","planted",83,"<10cm planted","1859","S0116MP01","Madagascar","Taotsara","Restoration","Restoration","30x30",661,930,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 2m by 2m spacing","Y0"
"Coffea arabica","planted",9,"<10cm planted","1859","S0116MP03","Madagascar","Taotsara","Restoration","Restoration","30x30",662,931,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 6m by 3m spacing","Y0"
"Dracaena reflexa","planted",10,"<10cm planted","1869","S0126MP1","Madagascar","Taotsara","Restoration","Restoration","30x30",663,932,"main","Planted_30x30","Permanent","0","0","2*2","Y0"
