"Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe"
NA,"don_t_know",NA,"1 - 9.9cm","1795","S0052 MP 148","Madagascar","FAFIALA","Restoration","Restoration","30x30",163,1321,"main","Census_30x30","Permanent","2","2","2m*2m","Y0"
NA,"don_t_know",NA,"1 - 9.9cm","1795","S0052 MP 148","Madagascar","FAFIALA","Restoration","Restoration","30x30",164,1321,"main","Census_30x30","Permanent","2","2","2m*2m","Y0"
NA,"naturally_regenerating",NA,"1 - 9.9cm","1796","S0053MP14","Madagascar","FAFIALA","Restoration","Restoration","30x30",165,1327,"main","Census_30x30","Permanent","2","2","2m sur 2m","Y0"
"Pachytrophe obovota","naturally_regenerating",3,"1 - 9.9cm","1796","S0053MP14","Madagascar","FAFIALA","Restoration","Restoration","30x30",166,1327,"main","Census_30x30","Permanent","2","2","2m sur 2m","Y0"
"Dracaena reflexa","naturally_regenerating",15,"1 - 9.9cm","1797","S0054MP61","Madagascar","FAFIALA","Restoration","Restoration","30x30",167,1334,"main","Census_30x30","Permanent","2","2","2m sur 2m","Y0"
"Desmodium barbatium",NA,1,NA,"1797","S0054MP61","Madagascar","FAFIALA","Restoration","Restoration","30x30",168,1334,"main","Census_30x30","Permanent","2","2","2m sur 2m","Y0"
"Weinmannia madagascariensis","naturally_regenerating",36,"1 - 9.9cm","1797","S0054MP62","Madagascar","FAFIALA","Restoration","Restoration","30x30",169,1335,"main","Census_30x30","Permanent","2","2","2m sur 2m","Y0"
"Nixua capitata","naturally_regenerating",16,"1 - 9.9cm","1797","S0054MP62","Madagascar","FAFIALA","Restoration","Restoration","30x30",170,1335,"main","Census_30x30","Permanent","2","2","2m sur 2m","Y0"
"Olax glabriflora","naturally_regenerating",2,"1 - 9.9cm","1797","S0054MP51","Madagascar","FAFIALA","Restoration","Restoration","30x30",171,1340,"main","Census_30x30","Permanent","2","2","2m sur 2m","Y0"
"Desmodium barbatum","naturally_regenerating",5,"1 - 9.9cm","1797","S0054MP58","Madagascar","FAFIALA","Restoration","Restoration","30x30",172,1343,"main","Census_30x30","Permanent","2","2","2m*2m","Y0"
"Citrus seinensus","planted",5,"<10cm planted","1795","S0052MP 143","Madagascar","FAFIALA","Restoration","Restoration","30x30",173,1344,"main","Census_30x30","Permanent","2","2","4m*4m","Y0"
"Desmodium barbatum","naturally_regenerating",2,"1 - 9.9cm","1795","S0052MP 143","Madagascar","FAFIALA","Restoration","Restoration","30x30",174,1344,"main","Census_30x30","Permanent","2","2","4m*4m","Y0"
"Nuxia capitata","naturally_regenerating",2,"1 - 9.9cm","1795","S0052MP 143","Madagascar","FAFIALA","Restoration","Restoration","30x30",175,1344,"main","Census_30x30","Permanent","2","2","4m*4m","Y0"
"Harungana madagascarnesis","naturally_regenerating",3,"1 - 9.9cm","1795","S0052MP109","Madagascar","FAFIALA","Restoration","Restoration","30x30",176,1345,"main","Census_30x30","Permanent","2","2","2m*2m","Y0"
