"Organization_Name","Site_ID","size_class.x","count_Y0","size_class.y","count_Y25","size_class","count_Y5","restored_Y25","restored_Y5"
"Amadese","1766",">10cm",33.7626811594203,NA,NA,NA,NA,NA,NA
"Amadese","1770","1 - 9.9cm",3135.02777777778,NA,NA,NA,NA,NA,NA
"Amadese","1770",">10cm",50.7575925925926,NA,NA,NA,NA,NA,NA
"Amadese","1773","1 - 9.9cm",1018.27160493827,NA,NA,NA,NA,NA,NA
"Amadese","1773",">10cm",81.4617283950617,NA,NA,NA,NA,NA,NA
"Amadese","1774","1 - 9.9cm",7764.16666666667,NA,NA,NA,NA,NA,NA
"Amadese","1774",">10cm",28.2333333333333,NA,NA,NA,NA,NA,NA
"Amadese","1776","1 - 9.9cm",754.12962962963,NA,NA,NA,NA,NA,NA
"Amadese","1776",">10cm",28.2798611111111,NA,NA,NA,NA,NA,NA
"Amadese","1777","1 - 9.9cm",1410.22222222222,NA,NA,NA,NA,NA,NA
"Amadese","1777",">10cm",3.52555555555556,NA,NA,NA,NA,NA,NA
"Amadese","1781","1 - 9.9cm",1106.33333333333,NA,NA,NA,NA,NA,NA
"Amadese","1781",">10cm",13.8291666666667,NA,NA,NA,NA,NA,NA
"Amadese","1782",">10cm",4.32222222222222,NA,NA,NA,NA,NA,NA
"Amadese","1785","1 - 9.9cm",1685.39682539683,NA,NA,NA,NA,NA,NA
"Amadese","1785",">10cm",15.1685714285714,NA,NA,NA,NA,NA,NA
"Amadese","1786","1 - 9.9cm",5184.8013029316,NA,NA,NA,NA,NA,NA
"Amadese","1786",">10cm",138.261368078176,NA,NA,NA,NA,NA,NA
"Amadese","1787","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"Amadese","1787",">10cm",NA,NA,NA,NA,NA,NA,NA
"Amadese","1788",">10cm",24.4028813559322,NA,NA,NA,NA,NA,NA
"Amadese","1792",">10cm",68.2263157894737,NA,NA,NA,NA,NA,NA
"Amadese","1794","1 - 9.9cm",30364.284498713,NA,NA,NA,NA,NA,NA
"Amadese","1794",">10cm",470.432576740624,NA,NA,NA,NA,NA,NA
"CI Madagascar","1746","1 - 9.9cm",209.96,NA,NA,NA,NA,NA,NA
"CI Madagascar","1746",">10cm",104.98,NA,NA,NA,NA,NA,NA
"CI Madagascar","1758","1 - 9.9cm",2185.0729131055,NA,NA,NA,NA,NA,NA
"CI Madagascar","1758",">10cm",298.554516840157,NA,NA,NA,NA,NA,NA
"CI Madagascar","1759","1 - 9.9cm",18.9642105263158,NA,NA,NA,NA,NA,NA
"CI Madagascar","1761","1 - 9.9cm",20.5612903225806,NA,NA,NA,NA,NA,NA
"CI Madagascar","1763","1 - 9.9cm",68.4259180910476,NA,NA,NA,NA,NA,NA
"CI Madagascar","1768","1 - 9.9cm",23.8589189189189,NA,NA,NA,NA,NA,NA
"CI Madagascar","1779","1 - 9.9cm",13.0610526315789,NA,NA,NA,NA,NA,NA
"CI Madagascar","1792","1 - 9.9cm",13.6452631578947,NA,NA,NA,NA,NA,NA
"CI Madagascar","1792",">10cm",13.6452631578947,NA,NA,NA,NA,NA,NA
"CI Madagascar","1795","1 - 9.9cm",41.6897668484585,NA,NA,NA,NA,NA,NA
"CI Madagascar","1795",">10cm",41.6897668484585,NA,NA,NA,NA,NA,NA
"CI Madagascar","1797","1 - 9.9cm",254.860450196647,NA,NA,NA,NA,NA,NA
"CI Madagascar","1797",">10cm",36.4086357423782,NA,NA,NA,NA,NA,NA
"CI Madagascar","1830","1 - 9.9cm",187.879518072289,NA,NA,NA,NA,NA,NA
"CI Madagascar","1831","1 - 9.9cm",263.328047571853,NA,NA,NA,NA,NA,NA
"CI Madagascar","1835","1 - 9.9cm",2721.87804878049,NA,NA,NA,NA,NA,NA
"CI Madagascar","1840","1 - 9.9cm",34.8032103233929,NA,NA,NA,NA,NA,NA
"CI Madagascar","1853","1 - 9.9cm",336.370044052863,NA,NA,NA,NA,NA,NA
"CI Madagascar","1860","1 - 9.9cm",26.1046635813457,NA,NA,NA,NA,NA,NA
"CI Madagascar","1862","1 - 9.9cm",168.823155298851,NA,NA,NA,NA,NA,NA
"CI Madagascar","1876","1 - 9.9cm",80.832,NA,NA,NA,NA,NA,NA
"CI Madagascar","1880","1 - 9.9cm",123.086486486486,NA,NA,NA,NA,NA,NA
"CI Madagascar","1881","1 - 9.9cm",169.822105263158,NA,NA,NA,NA,NA,NA
"CI Madagascar","1889","1 - 9.9cm",813.163064833006,NA,NA,NA,NA,NA,NA
"CI Madagascar","1890","1 - 9.9cm",30.5609522506499,NA,NA,NA,NA,NA,NA
"CI Madagascar","1891","1 - 9.9cm",139.939794344473,NA,NA,NA,NA,NA,NA
"CI Madagascar","1895",">10cm",151.786235662148,NA,NA,NA,NA,NA,NA
"CI Madagascar","1898","1 - 9.9cm",43.8315163528246,NA,NA,NA,NA,NA,NA
"CI Philippines","1742","1 - 9.9cm",7146650,NA,NA,NA,NA,NA,NA
"CI Philippines","1742",">10cm",222056.625,NA,NA,NA,NA,NA,NA
"CI Philippines","1987","1 - 9.9cm",6032897.66666667,NA,NA,NA,NA,NA,NA
"CI Philippines","1987",">10cm",149048.06,NA,NA,NA,NA,NA,NA
"CI Philippines","211","1 - 9.9cm",568719.763546798,NA,NA,NA,NA,NA,NA
"CI Philippines","211",">10cm",22793.221773399,NA,NA,NA,NA,NA,NA
"CUCOS","1259","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1259",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1415",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1418","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
