"Organization_Name","Site_ID","Y0","Y2.5","Other","Y5","Y2.5_Survival","Y5_Survival"
"FAFIALA","1809",1233.33333333333,NA,NA,NA,NA,NA
"FAFIALA","1810",3973.58,NA,NA,NA,NA,NA
"FAFIALA","1811",28377.4444444444,NA,NA,NA,NA,NA
"FAFIALA","1812",96962.7223087304,NA,NA,NA,NA,NA
"FAFIALA","1813",20766.1689401123,NA,NA,NA,NA,NA
"FAFIALA","1814",6697.79833333333,NA,NA,NA,NA,NA
"FAFIALA","1815",1863.55555555556,NA,NA,NA,NA,NA
"FAFIALA","1816",353.333333333333,NA,NA,NA,NA,NA
"FAFIALA","1817",7523.68536853685,NA,NA,NA,NA,NA
"FAFIALA","1818",28615.6981083845,NA,NA,NA,NA,NA
"FAFIALA","1819",20403.9258848193,NA,NA,NA,NA,NA
"FONCET","1314",0,NA,NA,NA,NA,NA
"FONCET","1394",0,NA,NA,NA,NA,NA
"FONCET","1402",0,NA,NA,NA,NA,NA
"FONCET","1416 1",0,NA,NA,NA,NA,NA
"FONCET","1416 2",0,NA,NA,NA,NA,NA
"FONCET","1416 3",0,NA,NA,NA,NA,NA
"FONCET","1416 4",0,NA,NA,NA,NA,NA
"FONCET","1416 5",0,NA,NA,NA,NA,NA
"FONCET","1416 6",0,NA,NA,NA,NA,NA
"FONCET","1416 7",0,NA,NA,NA,NA,NA
"FONCET","1416 8",0,NA,NA,NA,NA,NA
"FONCET","1416 9",0,NA,NA,NA,NA,NA
"FONCET","1617",0,NA,NA,NA,NA,NA
"FONCET","1618",0,NA,NA,NA,NA,NA
"FONCET","1619",0,NA,NA,NA,NA,NA
"FONCET","1620 1",0,NA,NA,NA,NA,NA
"FONCET","1620 2",0,NA,NA,NA,NA,NA
"FONCET","1621",0,NA,NA,NA,NA,NA
"FONCET","1622",0,NA,NA,NA,NA,NA
"FONCET","1623",0,NA,NA,NA,NA,NA
"FONCET","1624",0,NA,NA,NA,NA,NA
"FONCET","1625",0,NA,NA,NA,NA,NA
"FONCET","1626",0,NA,NA,NA,NA,NA
"FONCET","1626 1",0,NA,NA,NA,NA,NA
"FONCET","1626 2",0,NA,NA,NA,NA,NA
"FONCET","1626 3",0,NA,NA,NA,NA,NA
"FONCET","1626 4",0,NA,NA,NA,NA,NA
"FONCET","1627 1",0,NA,NA,NA,NA,NA
"FONCET","1627 2",0,NA,NA,NA,NA,NA
"FONCET","1628 1",0,NA,NA,NA,NA,NA
"FONCET","1628 2",0,NA,NA,NA,NA,NA
"FONCET","1629",0,NA,NA,NA,NA,NA
"FONCET","1630 1",0,NA,NA,NA,NA,NA
"FONCET","1630 2",0,NA,NA,NA,NA,NA
"FONCET","1631",0,NA,NA,NA,NA,NA
"FONCET","1632 1",0,NA,NA,NA,NA,NA
"FONCET","1632 2",0,NA,NA,NA,NA,NA
"FONCET","1633",0,NA,NA,NA,NA,NA
"FONCET","1634 1",0,NA,NA,NA,NA,NA
"FONCET","1634 2",0,NA,NA,NA,NA,NA
"FONCET","1636",0,NA,NA,NA,NA,NA
"FONCET","1636 - 2",0,NA,NA,NA,NA,NA
"FONCET","1637",0,NA,NA,NA,NA,NA
"FONCET","1638",0,NA,NA,NA,NA,NA
"FONCET","1639",0,NA,NA,NA,NA,NA
"FONCET","1676",0,NA,NA,NA,NA,NA
"FONCET","1678",0,NA,NA,NA,NA,NA
"FONCET","1683",0,NA,NA,NA,NA,NA
"FONCET","1687",0,NA,NA,NA,NA,NA
"FONCET","1689",0,NA,NA,NA,NA,NA
"FONCET","1692",0,NA,NA,NA,NA,NA
"FONCET","1693",0,NA,NA,NA,NA,NA
"FONCET","1732",0,NA,NA,NA,NA,NA
"FONCET","1733",0,NA,NA,NA,NA,NA
"FONCET","1734",0,NA,NA,NA,NA,NA
"FONCET","1735",0,NA,NA,NA,NA,NA
"FONCET","1736",0,NA,NA,NA,NA,NA
"FONCET","1737",0,NA,NA,NA,NA,NA
"FONCET","1738",0,NA,NA,NA,NA,NA
"FONCET","1739",0,NA,NA,NA,NA,NA
"FONCET","1740",0,NA,NA,NA,NA,NA
"FONCET","1741",0,NA,NA,NA,NA,NA
"FONCET","1902 1",0,NA,NA,NA,NA,NA
"FONCET","1902 2",0,NA,NA,NA,NA,NA
"FONCET","1903",0,NA,NA,NA,NA,NA
"FONCET","1904",0,NA,NA,NA,NA,NA
"FONCET","1905",0,NA,NA,NA,NA,NA
"FONCET","1906",0,NA,NA,NA,NA,NA
"FONCET","1907",0,NA,NA,NA,NA,NA
"FONCET","1908",0,NA,NA,NA,NA,NA
"FONCET","1909",0,NA,NA,NA,NA,NA
"FONCET","295",28.0841025641026,NA,NA,NA,NA,NA
"FONCET","Jose Francisco",0,NA,NA,NA,NA,NA
"Faja Lobi","95",902.992442244224,NA,NA,NA,NA,NA
"Fedecovera","S01",0,NA,NA,NA,NA,NA
"Fedecovera","S03",0,NA,NA,NA,NA,NA
"Fedecovera","S05",0,NA,NA,NA,NA,NA
"Fedecovera","S09",0,NA,NA,NA,NA,NA
"Fedecovera","S10",0,NA,NA,NA,NA,NA
"Fedecovera","S11",0,NA,NA,NA,NA,NA
"Fedecovera","S12",0,NA,NA,NA,NA,NA
"Fedecovera","S14",0,NA,NA,NA,NA,NA
"Fedecovera","S17",0,NA,NA,NA,NA,NA
"GANB","40",0,NA,NA,NA,NA,NA
"Green Forests Work","2007",1027.83639344262,NA,NA,NA,NA,NA
"Grow Trees","273B1P1",0,NA,NA,NA,NA,NA
"Reforest Action","329",35.4457534246575,NA,NA,NA,NA,NA
"Reforest Action2","274",7682.57522123894,NA,NA,NA,NA,NA
"Reforest Action2","275",81469.5354166667,NA,NA,NA,NA,NA
"Reforest Action2","302",6560.96611111111,NA,NA,NA,NA,NA
"Reforest Action2","306",5113.42074074074,NA,NA,NA,NA,NA
"Reforest Action2","307",2570.96,NA,NA,NA,NA,NA
"Taotsara","1821",26512.7063385827,NA,NA,NA,NA,NA
"Taotsara","1822",497.12,NA,NA,NA,NA,NA
"Taotsara","1823",296.41,NA,NA,NA,NA,NA
"Taotsara","1824",1713.33,NA,NA,NA,NA,NA
"Taotsara","1825",253.866666666667,NA,NA,NA,NA,NA
"Taotsara","1826",2427.33333333333,NA,NA,NA,NA,NA
"Taotsara","1827",24602.1111111111,NA,NA,NA,NA,NA
"Taotsara","1828",5793.184,NA,NA,NA,NA,NA
"Taotsara","1829",18.43,NA,NA,NA,NA,NA
"Taotsara","1830",12932.3734939759,NA,NA,NA,NA,NA
"Taotsara","1831",2369.95242814668,NA,NA,NA,NA,NA
"Taotsara","1832",334.055555555555,NA,NA,NA,NA,NA
"Taotsara","1833",254.660714285714,NA,NA,NA,NA,NA
"Taotsara","1834",32.1888888888889,NA,NA,NA,NA,NA
"Taotsara","1835",21148.9924390244,NA,NA,NA,NA,NA
"Taotsara","1836",19359.3929133523,NA,NA,NA,NA,NA
"Taotsara","1837",46.3377777777778,NA,NA,NA,NA,NA
"Taotsara","1838",266.911111111111,NA,NA,NA,NA,NA
"Taotsara","1839",0,NA,NA,NA,NA,NA
"Taotsara","1840",38718.5714847746,NA,NA,NA,NA,NA
"Taotsara","1841",788.9,NA,NA,NA,NA,NA
