"query","family","db"
"Padouk",NA,"GBIF"
"Milletia",NA,"GBIF"
"Ngumba",NA,"GBIF"
"Ngylo",NA,"GBIF"
"Ricinodendron","Euphorbiaceae","GBIF"
"Uapaca mole","Phyllanthaceae","GBIF"
"Milicia excelsa","Moraceae","GBIF"
"Nonoka",NA,"GBIF"
"Kisaka",NA,"GBIF"
"Pas darbres plus de 10cm",NA,"GBIF"
"Saf de la forêt",NA,"GBIF"
"Nsaf de la forêt",NA,"GBIF"
"Pachira aquatica","Malvaceae","GBIF"
"Croton mubango","Euphorbiaceae","GBIF"
"Canarium schweinfurtii","Burseraceae","GBIF"
"Dialium pachyphyllum","Fabaceae","GBIF"
"Uapaca","Phyllanthaceae","GBIF"
"Erythrophleum","Fabaceae","GBIF"
"Pentaclethra","Fabaceae","GBIF"
"Dacryodes normandii","Burseraceae","GBIF"
"Guibourtia demeusei","Fabaceae","GBIF"
"Pterocarpus soyauxii","Fabaceae","GBIF"
"Evea brasiliensis","Rubiaceae","GBIF"
"Erythrophleum ivorense","Fabaceae","GBIF"
"Prioria balsamifera","Fabaceae","GBIF"
"Leucena cena 1",NA,"GBIF"
"Hevea","Euphorbiaceae","GBIF"
"Adenanthera pavonina","Fabaceae","GBIF"
"Millettia drastica","Fabaceae","GBIF"
"Ongokea gore","Aptandraceae","GBIF"
"Musanga",NA,"GBIF"
"Musanga cecropioides","Urticaceae","GBIF"
"Tetraberlinia bifoliolata","Fabaceae","GBIF"
"Parkia bicolor","Fabaceae","GBIF"
"Oncoba welwitschii","Achariaceae","GBIF"
"Cekyoprodes",NA,"GBIF"
"Cekioprodes",NA,"GBIF"
"Bobgunnia fistuloides","Fabaceae","GBIF"
"Millettia soyauxii","Fabaceae","GBIF"
"Laecena cena",NA,"GBIF"
"Mwana mpembe",NA,"GBIF"
"Prioria","Fabaceae","GBIF"
"Bois noir 20Piptodeniastrum africanum",NA,"GBIF"
"5",NA,"GBIF"
"Owes 29Bois noir 3Osing 4Maesopsi 9Casia ciamea 13Total 58",NA,"GBIF"
"Osing 40Bois noir 6Oniel 4Casia ciamea 4Owes 25Total 77",NA,"GBIF"
"Paramacrolobium","Fabaceae","GBIF"
"Autranella congolensis","Sapotaceae","GBIF"
"Celtis tessmannii","Cannabaceae","GBIF"
"Gilbertiodendron dewevrei","Fabaceae","GBIF"
"Leplaea cedrata","Meliaceae","GBIF"
"Osing  2",NA,"GBIF"
"Tetrapleura tetraptera","Fabaceae","GBIF"
"Hymenocardia acida","Phyllanthaceae","GBIF"
"Albizia adianthifolia","Fabaceae","GBIF"
"Menocardia",NA,"GBIF"
"Baillonella toxisperma","Sapotaceae","GBIF"
"Kikos",NA,"GBIF"
"Lesena",NA,"GBIF"
"Vermoxe",NA,"GBIF"
"Bois noir",NA,"GBIF"
"Bois noir 36",NA,"GBIF"
"Bois noir 50",NA,"GBIF"
"Senna siamea","Fabaceae","GBIF"
"Acacia floribunda","Fabaceae","GBIF"
"Entandrophragma cylindricum","Meliaceae","GBIF"
"Prioria oxyphylla","Fabaceae","GBIF"
"Evea",NA,"GBIF"
"Guibourtia","Fabaceae","GBIF"
"Dialium","Fabaceae","GBIF"
"Bobgunnia","Fabaceae","GBIF"
"Gilbertiodendron","Fabaceae","GBIF"
"Pycnanthus angolensis","Myristicaceae","GBIF"
"Ficus tiliifolia","Moraceae","GBIF"
"ghh",NA,"GBIF"
"À",NA,"GBIF"
"Grevillea banksii","Proteaceae","GBIF"
"Akondro",NA,"GBIF"
"L",NA,"GBIF"
"Monoporus paludosus","Primulaceae","GBIF"
"Xylopia humblotiana","Annonaceae","GBIF"
"Syzygium parkeri","Myrtaceae","GBIF"
"Tambourissa baronii","Monimiaceae","GBIF"
"Eugenia jambosa","Myrtaceae","GBIF"
"Syzygium guineense","Myrtaceae","GBIF"
"Thecacoris cometia","Phyllanthaceae","GBIF"
"Eucalyptus camaldulensis","Myrtaceae","GBIF"
"Melia azedarach","Meliaceae","GBIF"
"Grevillia","Staphylinidae","GBIF"
"Albizia perrieri","Fabaceae","GBIF"
"Brachylaena","Asteraceae","GBIF"
"Grevillia robusta","Proteaceae","GBIF"
"Pinus patula","Pinaceae","GBIF"
"Asteropeia micraster","Asteropeiaceae","GBIF"
"Quiebra coyol",NA,"GBIF"
"Centrolobium ochroxylum","Fabaceae","GBIF"
"Aspidosperma cruentum","Apocynaceae","GBIF"
"Torongil",NA,"GBIF"
"Ehretia latifolia","Ehretiaceae","GBIF"
"Manzana de mono",NA,"GBIF"
"Cajoncillo",NA,"GBIF"
"Inga paterno","Fabaceae","GBIF"
"Capulin blanco",NA,"GBIF"
"Canaco",NA,"GBIF"
"Amate","Soleidae","GBIF"
"Chote",NA,"GBIF"
"Caspirol",NA,"GBIF"
"Guarumbo",NA,"GBIF"
"mano de León",NA,"GBIF"
"Terminalia oblonga","Combretaceae","GBIF"
"Cecropia obtusifolia","Urticaceae","GBIF"
"Cajete",NA,"GBIF"
"Vernonia deppeana","Asteraceae","GBIF"
"Pino",NA,"GBIF"
"Palo de agua",NA,"GBIF"
"Igueria",NA,"GBIF"
"Aspidosperma megalocarpon","Apocynaceae","GBIF"
"Polygonum punctatum","Polygonaceae","GBIF"
"Malus pumila","Rosaceae","GBIF"
"Kunnt",NA,"GBIF"
"Capulin de paloma",NA,"GBIF"
"Gyrocarpus americanus","Hernandiaceae","GBIF"
"Pitavia punctata","Rutaceae","GBIF"
"Chalum blanco",NA,"GBIF"
"Chaperla",NA,"GBIF"
"Caridea",NA,"GBIF"
"Laurus nobilis","Lauraceae","GBIF"
"Lombricillo",NA,"GBIF"
"Chalum",NA,"GBIF"
"Annona",NA,"GBIF"
"Acrocomia vinifera","Arecaceae","GBIF"
"Melissa officinalis","Lamiaceae","GBIF"
"Hippomane","Euphorbiaceae","GBIF"
"Dracaena cinnabari","Asparagaceae","GBIF"
"Portoricensis pittier",NA,"GBIF"
"Schizolobium parahyba","Fabaceae","GBIF"
"Lonchocarpus yoroensis","Fabaceae","GBIF"
"Citronella mucronata","Cardiopteridaceae","GBIF"
"Caesalpinia parahyba","Fabaceae","GBIF"
"Ternstroemia huasteca","Pentaphylacaceae","GBIF"
"Persicaria punctata","Polygonaceae","GBIF"
"Tabebuia","Bignoniaceae","GBIF"
"Ocotea","Lauraceae","GBIF"
"Inga micheliana","Fabaceae","GBIF"
"Lippia myriocephala","Verbenaceae","GBIF"
"Saurauia madrensis","Actinidiaceae","GBIF"
"Andira","Fabaceae","GBIF"
"Coccoloba","Polygonaceae","GBIF"
"Acacia cornigera","Fabaceae","GBIF"
"Cecropia","Urticaceae","GBIF"
"Randia",NA,"GBIF"
"Cojoba","Fabaceae","GBIF"
"Platymiscium yucatanum","Fabaceae","GBIF"
"Croton","Euphorbiaceae","GBIF"
"Camaron",NA,"GBIF"
"Conocarpus erectus","Combretaceae","GBIF"
"Acacia","Fabaceae","GBIF"
"Burócrata cimaruba",NA,"GBIF"
"Anona","Annonaceae","GBIF"
"Chrysophyllum mexicanum","Sapotaceae","GBIF"
"Citrus latifolia","Rutaceae","GBIF"
"Eysenhardtia adenostylis","Fabaceae","GBIF"
"Piscidia","Fabaceae","GBIF"
"Citrus paradisi","Rutaceae","GBIF"
"Annona reticulata","Annonaceae","GBIF"
"Guarea grandifolia","Meliaceae","GBIF"
"Nectandra membranacea","Lauraceae","GBIF"
"Annona purpurea","Annonaceae","GBIF"
"Parmentiera aculeata","Bignoniaceae","GBIF"
"Aguacatillo",NA,"GBIF"
"Macuil",NA,"GBIF"
"Coralillo",NA,"GBIF"
"Cacao",NA,"GBIF"
"Cuil",NA,"GBIF"
"Purshia mexicana","Rosaceae","GBIF"
"Zapote negro",NA,"GBIF"
"Huanche",NA,"GBIF"
"Huanchal",NA,"GBIF"
"Tejon",NA,"GBIF"
"Frijolillo",NA,"GBIF"
"Palo de piedra",NA,"GBIF"
"Palo de obo",NA,"GBIF"
"Guanabana",NA,"GBIF"
"Caulote",NA,"GBIF"
"Guanaba",NA,"GBIF"
"Aguacate",NA,"GBIF"
"Ceiba",NA,"GBIF"
"Juan diego",NA,"GBIF"
"Cedro blanco",NA,"GBIF"
"Huarumbo",NA,"GBIF"
"Theobroma","Malvaceae","GBIF"
"Chico negrito",NA,"GBIF"
"Palo de tinta",NA,"GBIF"
"Sanhualico",NA,"GBIF"
"Musa paradisiaca","Musaceae","GBIF"
"Macuite",NA,"GBIF"
"Palo tejon",NA,"GBIF"
"Escobillo",NA,"GBIF"
"Rabo de iguana",NA,"GBIF"
"Huarunbo",NA,"GBIF"
"Mulato",NA,"GBIF"
"Chico zapoteVoladorJuizte",NA,"GBIF"
"Palo de copal",NA,"GBIF"
"Pouteria glomerata","Sapotaceae","GBIF"
"Palo de hormiga",NA,"GBIF"
"Pata de gallo",NA,"GBIF"
"Pipe",NA,"GBIF"
"Pato de gallo",NA,"GBIF"
"Pouteria sapota","Sapotaceae","GBIF"
"Achiote montés",NA,"GBIF"
"Monstera deliciosa","Araceae","GBIF"
"Piscidia piscipula","Fabaceae","GBIF"
"Guirsiña",NA,"GBIF"
"Majahua",NA,"GBIF"
"Pipi",NA,"GBIF"
"Cordia megalantha","Cordiaceae","GBIF"
"Cupania guatemalensis","Sapindaceae","GBIF"
"Barbasco blanco",NA,"GBIF"
"Espina",NA,"GBIF"
"Zanthoxylum fagara","Rutaceae","GBIF"
"Arbol desconocido no identificado",NA,"GBIF"
"Majauhua de pinolillo",NA,"GBIF"
"Majahua de tuza.",NA,"GBIF"
"Frutilla",NA,"GBIF"
"Arbol de ahuate (arbol desconocido no identificado)",NA,"GBIF"
"Bixa orellana","Bixaceae","GBIF"
"Mora",NA,"GBIF"
"Pipi (desconocido no identificado)",NA,"GBIF"
"Arbol amarillo (desconocido no.identificado)",NA,"GBIF"
"Morus",NA,"GBIF"
"Corpo",NA,"GBIF"
"Vochysia vismiifolia","Vochysiaceae","GBIF"
"Arbol de calabaza desconocido no identificado",NA,"GBIF"
"Chrysobalanus icaco","Chrysobalanaceae","GBIF"
"Arbol colorado desconocido no identificado",NA,"GBIF"
"Pipi desconocido no identificado",NA,"GBIF"
"Arbol amarillo desconocido no identificado",NA,"GBIF"
"Cordia elaeagnoides","Cordiaceae","GBIF"
"Bursera","Burseraceae","GBIF"
"Arbol desconicido no identificado",NA,"GBIF"
"Prunus webbii","Rosaceae","GBIF"
"Juan he",NA,"GBIF"
"Tabachin",NA,"GBIF"
"Palo de hule",NA,"GBIF"
"Palma","Arecaceae","GBIF"
"Parota",NA,"GBIF"
"Cedro rojo",NA,"GBIF"
"Cacahuanano",NA,"GBIF"
"Macuil mareño",NA,"GBIF"
"guanchal",NA,"GBIF"
"macuil",NA,"GBIF"
"mangal",NA,"GBIF"
"palo de piedra",NA,"GBIF"
"huele de noche",NA,"GBIF"
"guanchales",NA,"GBIF"
"manodante",NA,"GBIF"
"frijolillo",NA,"GBIF"
"aguacatal",NA,"GBIF"
"caoba",NA,"GBIF"
"ciruela obo",NA,"GBIF"
"camaron",NA,"GBIF"
"caulote",NA,"GBIF"
"palo de hule",NA,"GBIF"
"maluco",NA,"GBIF"
"naranjo",NA,"GBIF"
"guanacastle",NA,"GBIF"
"mulato",NA,"GBIF"
"cedro rojo",NA,"GBIF"
"guarumbp",NA,"GBIF"
"nicyamal",NA,"GBIF"
"aguacatillo",NA,"GBIF"
"cuapinol",NA,"GBIF"
"coachepil",NA,"GBIF"
"palo ropa",NA,"GBIF"
"pataste",NA,"GBIF"
"hormiguero",NA,"GBIF"
"hormigiero",NA,"GBIF"
"Euphoria didyma","Sapindaceae","GBIF"
"Garcinia rubra","Clusiaceae","GBIF"
"Alangium meyeri","Cornaceae","GBIF"
"Mimusops parvifolia","Sapotaceae","GBIF"
"Syzygium polycephaloides","Myrtaceae","GBIF"
"Syzygium nitidum","Myrtaceae","GBIF"
"Neonauclea reticulata","Rubiaceae","GBIF"
"Cratoxylum formosum","Hypericaceae","GBIF"
"Parinari glaberrima","Chrysobalanaceae","GBIF"
"Antidesma ghaesembilla","Phyllanthaceae","GBIF"
"Stemonurus luzoniensis","Stemonuraceae","GBIF"
"Ardisia squamulosa","Primulaceae","GBIF"
"Pedicellia fuscescens","Sapindaceae","GBIF"
"Diospyros pilosanthera","Ebenaceae","GBIF"
"Garcinia benthamii","Clusiaceae","GBIF"
"Myristica umbellata","Myristicaceae","GBIF"
"Neonauclea bartlingii","Rubiaceae","GBIF"
"Aglaia edulis","Meliaceae","GBIF"
"Dipterocarpus gracilis","Dipterocarpaceae","GBIF"
"Barringtonia racemosa","Lecythidaceae","GBIF"
"Epicharis cumingiana","Meliaceae","GBIF"
"Garcinia polyantha","Clusiaceae","GBIF"
"Cleistocalyx operculatus","Myrtaceae","GBIF"
"Cleidion spiciflorum","Euphorbiaceae","GBIF"
"Artocarpus nitidus","Moraceae","GBIF"
"Kleinhovia hospita","Malvaceae","GBIF"
"Gmelina",NA,"GBIF"
"Talauma villariana","Magnoliaceae","GBIF"
"Myristica elliptica","Myristicaceae","GBIF"
"Pleioluma foxworthyi","Sapotaceae","GBIF"
"Ficus stipulata","Moraceae","GBIF"
"Chisocheton cumingianus","Meliaceae","GBIF"
"Cryptocarya laevigata","Lauraceae","GBIF"
"Albizia falcataria","Fabaceae","GBIF"
"Aglaia llanosiana","Meliaceae","GBIF"
"Trichospermum discolor","Malvaceae","GBIF"
"Swietenia mahagoni","Meliaceae","GBIF"
"Myristica philippensis","Myristicaceae","GBIF"
"testing - delete this please",NA,"GBIF"
"testing2 - delete this please",NA,"GBIF"
"testing3 - delete this please",NA,"GBIF"
"testing4 - delete this please",NA,"GBIF"
"Quercus ilex ballota","Fagaceae","GBIF"
"Izote",NA,"GBIF"
"Palo de ropa",NA,"GBIF"
"Cuil chocolate",NA,"GBIF"
"Palos e cobré",NA,"GBIF"
"Chamicillo",NA,"GBIF"
"Cobre",NA,"GBIF"
"Palo achiote silvestre",NA,"GBIF"
"Palo de achiote silvestre",NA,"GBIF"
"Palo de canela",NA,"GBIF"
"Chamisillo",NA,"GBIF"
"Mano de León",NA,"GBIF"
"Tachuela",NA,"GBIF"
"Madrecacao",NA,"GBIF"
"Ciruela morado",NA,"GBIF"
"Mumato",NA,"GBIF"
"Guanche",NA,"GBIF"
"Mamey",NA,"GBIF"
"Cuanacasle",NA,"GBIF"
"Ciruela de obo",NA,"GBIF"
"Palo de hoja seca",NA,"GBIF"
"Pata del gallo",NA,"GBIF"
"Clericidias",NA,"GBIF"
"Secropia",NA,"GBIF"
"Clerisidia sp",NA,"GBIF"
"Calistemo",NA,"GBIF"
"Vochysia guatemalensis","Vochysiaceae","GBIF"
"Magnolia grandiflora","Magnoliaceae","GBIF"
"Tabebuia erosa","Bignoniaceae","GBIF"
"Ingas sp",NA,"GBIF"
"Laurel",NA,"GBIF"
"Quercus humboldtii","Fagaceae","GBIF"
"Saurauia villosa","Actinidiaceae","GBIF"
"Lonchocarpus utilis","Fabaceae","GBIF"
"Jicalpestle",NA,"GBIF"
"Cercidium microphyllum","Fabaceae","GBIF"
"Wisteria sinensis","Fabaceae","GBIF"
"Mucuna argyrophylla","Fabaceae","GBIF"
"Parkinsonia aculeata","Fabaceae","GBIF"
"Palo de leche",NA,"GBIF"
"Cyrtocarpa edulis","Anacardiaceae","GBIF"
"Dioscorea composita","Dioscoreaceae","GBIF"
"Nance",NA,"GBIF"
"Caoba",NA,"GBIF"
"Coyoute",NA,"GBIF"
"Cansin",NA,"GBIF"
"Persea","Lauraceae","GBIF"
"Adenostoma sparsifolium","Rosaceae","GBIF"
"Homalium",NA,"GBIF"
"Terminalia microcarpa","Combretaceae","GBIF"
"Guioa pleuropteris","Sapindaceae","GBIF"
"Aglaia luzoniensis","Meliaceae","GBIF"
"Mussaenda philippica","Rubiaceae","GBIF"
"Drypetes grandifolia","Putranjivaceae","GBIF"
"Dalbergia melanoxylon","Fabaceae","GBIF"
"Alicia",NA,"GBIF"
"Tecoma stans","Bignoniaceae","GBIF"
"Senna macranthera","Fabaceae","GBIF"
"Beilschmiedia","Lauraceae","GBIF"
"Mphangala",NA,"GBIF"
"Kaumbwe",NA,"GBIF"
"mlama",NA,"GBIF"
"Chisoyo",NA,"GBIF"
"Maviru",NA,"GBIF"
"Mtanthanyelere",NA,"GBIF"
"mkukhu",NA,"GBIF"
"Msuku",NA,"GBIF"
"Muula",NA,"GBIF"
"Mlama",NA,"GBIF"
"1",NA,"GBIF"
"Maviro",NA,"GBIF"
"Vitex doniana","Lamiaceae","GBIF"
"Mloro",NA,"GBIF"
"Katope",NA,"GBIF"
"Muwula",NA,"GBIF"
"Mkalakati",NA,"GBIF"
"Maula","Myrmeleontidae","GBIF"
"Uappaka kirkiana",NA,"GBIF"
"Coffe",NA,"GBIF"
"Jatropha gossypiifolia","Euphorbiaceae","GBIF"
"Lonchocarpus xuul","Fabaceae","GBIF"
"Dalbergia calycina","Fabaceae","GBIF"
"Theobroma cacao","Malvaceae","GBIF"
"Garcinia smeathmanii","Clusiaceae","GBIF"
"Swietenia macrophylla","Meliaceae","GBIF"
"Syzygium phanerophlebium","Myrtaceae","GBIF"
"Thilachium verrucosum","Capparaceae","GBIF"
"Dalbergia monticola","Fabaceae","GBIF"
"ghhh",NA,"GBIF"
"Eriobotrya","Rosaceae","GBIF"
"Majidea zanguebarica","Sapindaceae","GBIF"
"Croton noronhae","Euphorbiaceae","GBIF"
"Punis",NA,"GBIF"
"Desmodium barbatum","Fabaceae","GBIF"
"Canarium madagascariense","Burseraceae","GBIF"
"Aloe serra","Asphodelaceae","GBIF"
"Euphorbia tulearensis","Euphorbiaceae","GBIF"
"Uapaca thouarsii","Phyllanthaceae","GBIF"
"Desmodium","Fabaceae","GBIF"
"Voapika aluaudi",NA,"GBIF"
"Luxa capitata",NA,"GBIF"
"Clidemia hirta","Melastomataceae","GBIF"
"Diospyros","Ebenaceae","GBIF"
"Thilachium sumangui","Capparaceae","GBIF"
"Philippia floribunda","Ericaceae","GBIF"
"Entada","Fabaceae","GBIF"
"Rourea orientalis","Connaraceae","GBIF"
"Cestrum nocturnum","Solanaceae","GBIF"
"Chamaedorea elegans","Arecaceae","GBIF"
"Arbol bejuco, no conocido",NA,"GBIF"
"Myrciaria floribunda","Myrtaceae","GBIF"
"Chamaedorea tepejilote","Arecaceae","GBIF"
"Senna corymbosa","Fabaceae","GBIF"
"Lombricera",NA,"GBIF"
"Chichicasle",NA,"GBIF"
"Caca lol",NA,"GBIF"
"Sycamore",NA,"GBIF"
"Cornus amomum","Cornaceae","GBIF"
"Acer rubrum","Sapindaceae","GBIF"
"Rhus typhina","Anacardiaceae","GBIF"
"Rhus copallinum","Anacardiaceae","GBIF"
"Liriodendron tulipifera","Magnoliaceae","GBIF"
"Caco",NA,"GBIF"
"Ninguno",NA,"GBIF"
"Trichilia havanensis","Meliaceae","GBIF"
"Arbol desconocido (no identificado de calabaza)",NA,"GBIF"
"Cage",NA,"GBIF"
"Cimarro",NA,"GBIF"
"Palo d piedra",NA,"GBIF"
"Huan che",NA,"GBIF"
"cafeto",NA,"GBIF"
"homiguero",NA,"GBIF"
"Leucosyke capitellata","Urticaceae","GBIF"
"Glochidion triandrum","Phyllanthaceae","GBIF"
"Nephelium mutabile","Sapindaceae","GBIF"
"Macaranga bicolor","Euphorbiaceae","GBIF"
"Ficus congesta","Moraceae","GBIF"
"Calophyllum",NA,"GBIF"
"Juniperus communis","Cupressaceae","GBIF"
"Genista scorpius","Fabaceae","GBIF"
"testing1 - delete this please",NA,"GBIF"
".palo de ropa",NA,"GBIF"
"Huaje blanco",NA,"GBIF"
"Po hormiguero",NA,"GBIF"
"Caffe arábiga",NA,"GBIF"
"Coffea odorata","Rubiaceae","GBIF"
"Ficus septica","Moraceae","GBIF"
"Lambinana (nom scientifique ?)",NA,"GBIF"
"Vernonia glutinosa","Asteraceae","GBIF"
"Trema orientale","Cannabaceae","GBIF"
"Fandridambo",NA,"GBIF"
"Syzygium","Myrtaceae","GBIF"
"MN",NA,"GBIF"
"RAS",NA,"GBIF"
"Philippia madagascariensis","Ericaceae","GBIF"
"un guanchal",NA,"GBIF"
"Dillenia philippinensis","Dilleniaceae","GBIF"
"Leea","Vitaceae","GBIF"
"fdf",NA,"GBIF"
"Plumeria rubra","Apocynaceae","GBIF"
"Jirofo",NA,"GBIF"
"Buddleja madagascariensis","Scrophulariaceae","GBIF"
"Guarumo",NA,"GBIF"
"Pas despèces de 1 à 9,9 cm (DHP)",NA,"GBIF"
"Lambinana ( nom scientifique??)",NA,"GBIF"
"Autre espèce",NA,"GBIF"
"Cnestis polyphylla","Connaraceae","GBIF"
"Non",NA,"GBIF"
"vosefaka",NA,"GBIF"
"volomborona",NA,"GBIF"
"fotsiambo kijejalahy",NA,"GBIF"
"Voapika",NA,"GBIF"
"Astéraceas",NA,"GBIF"
"Jusrica sp",NA,"GBIF"
"Olax glabriflora","Olacaceae","GBIF"
"Eugénie off. Cloiselli",NA,"GBIF"
"Asplenium pellucidum","Aspleniaceae","GBIF"
"none",NA,"GBIF"
"Fucus","Fucaceae","GBIF"
"Erica",NA,"GBIF"
