"query","family","db"
"Metopium Brownie","Anacardiaceae","GBIF"
"Alstonia longifolia","Apocynaceae","GBIF"
"Euphorbia","Euphorbiaceae","GBIF"
"Casearia",NA,"GBIF"
"Swietenia Macrophylla",NA,"GBIF"
"Cupresus",NA,"GBIF"
"Cimarron,",NA,"GBIF"
"Palo de totomoxe",NA,"GBIF"
"Tepexilote",NA,"GBIF"
"Chinizo",NA,"GBIF"
"Chamuzl",NA,"GBIF"
"Mamellito",NA,"GBIF"
"Palo Tejon",NA,"GBIF"
"Cedrela","Meliaceae","GBIF"
"Roble  laurel",NA,"GBIF"
"Mario",NA,"GBIF"
"Simarouba","Simaroubaceae","GBIF"
"Quercus sapotifolia","Fagaceae","GBIF"
"Pinus sylvestris","Pinaceae","GBIF"
"Quercus robur","Fagaceae","GBIF"
"Populus","Salicaceae","GBIF"
"Prunus avium","Rosaceae","GBIF"
"Quercus","Fagaceae","GBIF"
"Carpinus betulus","Betulaceae","GBIF"
"Pinus",NA,"GBIF"
"Betula pendula","Betulaceae","GBIF"
"Betula",NA,"GBIF"
"Acer pseudoplatanus","Sapindaceae","GBIF"
"Fagus sylvatica","Fagaceae","GBIF"
"Tilia cordata","Malvaceae","GBIF"
"Cecropia peltata","Urticaceae","GBIF"
"Taxus baccata","Taxaceae","GBIF"
"Inga spuria","Fabaceae","GBIF"
"Juglans regia","Juglandaceae","GBIF"
"Garcinia intermedia","Clusiaceae","GBIF"
"Gliricidia sepium","Fabaceae","GBIF"
"Crescentia alata","Bignoniaceae","GBIF"
"Persea caerulea","Lauraceae","GBIF"
"Cedrela odorata","Meliaceae","GBIF"
"Dracaena fragrans","Asparagaceae","GBIF"
"Bursera simaruba","Burseraceae","GBIF"
"Spondias mombin","Anacardiaceae","GBIF"
"Persea americana","Lauraceae","GBIF"
"Citrus","Rutaceae","GBIF"
"Inga vera","Fabaceae","GBIF"
"Dendropanax","Araliaceae","GBIF"
"Mangifera","Anacardiaceae","GBIF"
"Cupania dentata","Sapindaceae","GBIF"
"Annona squamosa","Annonaceae","GBIF"
"Croton draco","Euphorbiaceae","GBIF"
"Liquidambar styraciflua","Altingiaceae","GBIF"
"Citrus hystrix","Rutaceae","GBIF"
"Zanthoxylum rhoifolium","Rutaceae","GBIF"
"Hibiscus elatus","Malvaceae","GBIF"
"Quercus xalapensis","Fagaceae","GBIF"
"Palo de canela silvestre",NA,"GBIF"
"Palo de leche amarillo",NA,"GBIF"
"Pinus chiapensis","Pinaceae","GBIF"
"Palo de pajarito",NA,"GBIF"
"Avicennia marina","Acanthaceae","GBIF"
"Sorbus torminalis","Rosaceae","GBIF"
"Douglas",NA,"GBIF"
"Sorbus aucuparia","Rosaceae","GBIF"
"Carpinus","Betulaceae","GBIF"
"Acer campestre","Sapindaceae","GBIF"
"Diphysa americana","Fabaceae","GBIF"
"Larix decidua","Pinaceae","GBIF"
"Fraises exelsion",NA,"GBIF"
"Atriplex canescens","Amaranthaceae","GBIF"
"sjdjd",NA,"GBIF"
"jd",NA,"GBIF"
"ueyeg",NA,"GBIF"
"yzyz",NA,"GBIF"
"Tectona grandis","Lamiaceae","GBIF"
"Intsia bijuga","Fabaceae","GBIF"
"Eugenia montalbanica","Myrtaceae","GBIF"
"Quercus rugosa","Fagaceae","GBIF"
"Guazuma ulmifolia","Malvaceae","GBIF"
"Coffea arabica","Rubiaceae","GBIF"
"Não possue",NA,"GBIF"
"Brosimum alicastrum","Moraceae","GBIF"
"Beilschmiedia riparia","Lauraceae","GBIF"
"Msangu",NA,"GBIF"
"Mphakasa",NA,"GBIF"
"Msambafumu",NA,"GBIF"
"Mtondo",NA,"GBIF"
"Msolo",NA,"GBIF"
"Faidherbia albida","Fabaceae","GBIF"
"Khaya anthotheca","Meliaceae","GBIF"
"Chitimbe",NA,"GBIF"
"Acacia polyacantha","Fabaceae","GBIF"
"Mwavi",NA,"GBIF"
"Matowo",NA,"GBIF"
"Mlonde",NA,"GBIF"
"mphakasa",NA,"GBIF"
"mlonde",NA,"GBIF"
"chitimbe",NA,"GBIF"
"mbawa",NA,"GBIF"
"msambafumu",NA,"GBIF"
"mtondo",NA,"GBIF"
"Dipterocarpus grandiflorus","Dipterocarpaceae","GBIF"
"Swietenia","Meliaceae","GBIF"
"Pouteria villamilii","Sapotaceae","GBIF"
"Diospyros blancoi","Ebenaceae","GBIF"
"Bauhinia","Fabaceae","GBIF"
"Mthethe",NA,"GBIF"
"Afzelia quanzensis","Fabaceae","GBIF"
"Mbawa",NA,"GBIF"
"Pterocarpus indicus","Fabaceae","GBIF"
"Trachylobium verrucosum","Fabaceae","GBIF"
"Hevea brasiliensis","Euphorbiaceae","GBIF"
"Cassia siamea","Fabaceae","GBIF"
"Pentaclethra macrophylla","Fabaceae","GBIF"
"Cassia floribunda","Fabaceae","GBIF"
"Trachylobium","Fabaceae","GBIF"
"ghgh",NA,"GBIF"
"Dracaena reflexa","Asparagaceae","GBIF"
"Harungana madagascariensis","Hypericaceae","GBIF"
"Ficus reflexa","Moraceae","GBIF"
"Albizia lebbeck","Fabaceae","GBIF"
"Nuxia capitata","Stilbaceae","GBIF"
"Syzygium aromaticum","Myrtaceae","GBIF"
"Coffea","Rubiaceae","GBIF"
"Litchi","Sapindaceae","GBIF"
"Mangifera indica","Anacardiaceae","GBIF"
"Spondias dulcis","Anacardiaceae","GBIF"
"Intsia","Fabaceae","GBIF"
"Spondias","Anacardiaceae","GBIF"
"Citrus sinensis","Rutaceae","GBIF"
"Letchi",NA,"GBIF"
"Albizia","Fabaceae","GBIF"
"Harungana","Hypericaceae","GBIF"
"Albizia gummifera","Fabaceae","GBIF"
"Albizzia lebbeck","Fabaceae","GBIF"
"Hasina",NA,"GBIF"
"Eriobotrya japonica","Rosaceae","GBIF"
"Syzygium verrucosum","Myrtaceae","GBIF"
"Artocarpus heterophyllus","Moraceae","GBIF"
"Malus","Rosaceae","GBIF"
"Entada chrysostachys","Fabaceae","GBIF"
"Vanilla planifolia","Orchidaceae","GBIF"
"Eucalyptus robusta","Myrtaceae","GBIF"
"Litchi chinensis","Sapindaceae","GBIF"
"Brachylaena perrieri","Asteraceae","GBIF"
"Psiadia altissima","Asteraceae","GBIF"
"Ampalis madagascariensis","Moraceae","GBIF"
"Weinmannia madagascariensis","Cunoniaceae","GBIF"
"Trema orientalis","Cannabaceae","GBIF"
"Grevillea","Proteaceae","GBIF"
"Tina striata","Sapindaceae","GBIF"
"Fomohilambo",NA,"GBIF"
"Handrarezina",NA,"GBIF"
"Ficus lutea","Moraceae","GBIF"
"Pachytrophe obovata","Moraceae","GBIF"
"Psidium guayava","Myrtaceae","GBIF"
"Tina gelonium","Sapindaceae","GBIF"
"Psidium",NA,"GBIF"
"Bracaena perieri",NA,"GBIF"
"Thecacoris madagascariensis","Phyllanthaceae","GBIF"
"Eucalyptus","Myrtaceae","GBIF"
"Gnidia danguyana","Thymelaeaceae","GBIF"
"Macaranga obovata","Euphorbiaceae","GBIF"
"Entada louvelii","Fabaceae","GBIF"
"Malus domestica","Rosaceae","GBIF"
"Weinmannia","Cunoniaceae","GBIF"
"Eugenia hirta","Myrtaceae","GBIF"
"Psydia",NA,"GBIF"
"Famohylambo",NA,"GBIF"
"Maintipototra",NA,"GBIF"
"Musa","Musaceae","GBIF"
"Psorospermum amplifolium","Hypericaceae","GBIF"
"Phyllarthron madagascariensis","Bignoniaceae","GBIF"
"Filartran madagascariensis",NA,"GBIF"
"Ficus rubra","Moraceae","GBIF"
"Haronga madagascariensis","Hypericaceae","GBIF"
"Ficus megapoda","Moraceae","GBIF"
"Leucaena","Fabaceae","GBIF"
"Cafe","Rubiaceae","GBIF"
"Trachydium verrucosum","Apiaceae","GBIF"
"Prunus persica","Rosaceae","GBIF"
"Coffea robusta","Rubiaceae","GBIF"
"Baudouinia fluggeiformis","Fabaceae","GBIF"
"Weinmannia rutenbergii","Cunoniaceae","GBIF"
"Thilachium angustifolium","Capparaceae","GBIF"
"Andrarezina",NA,"GBIF"
"Volomborona",NA,"GBIF"
"Dracaena",NA,"GBIF"
"Ficus polita","Moraceae","GBIF"
"Coffea millotii","Rubiaceae","GBIF"
"Coffea mangoroensis","Rubiaceae","GBIF"
"Caffea","Rubiaceae","GBIF"
"Morus alba","Moraceae","GBIF"
"Grewia baillonii","Malvaceae","GBIF"
"Protorhus ditimena","Anacardiaceae","GBIF"
"Erythroxylum sphaeranthum","Erythroxylaceae","GBIF"
"Papaya","Caricaceae","GBIF"
"Piper nigrum","Piperaceae","GBIF"
"None",NA,"GBIF"
"Intsia madagascariensis","Fabaceae","GBIF"
"Spondens dipsis",NA,"GBIF"
"Trema humbertii","Cannabaceae","GBIF"
"Eugenia cloiselii","Myrtaceae","GBIF"
"Eugenia",NA,"GBIF"
"Tambourissa madagascariensis","Monimiaceae","GBIF"
"Casearia corymbosa","Salicaceae","GBIF"
"Cordia alliodora","Cordiaceae","GBIF"
"Malacate blanco",NA,"GBIF"
"Tabebuia rosea","Bignoniaceae","GBIF"
"Rabo de iaguana",NA,"GBIF"
"Nanche",NA,"GBIF"
"Cocos nucifera","Arecaceae","GBIF"
"Quercus rubra","Fagaceae","GBIF"
"Pinus strobus","Pinaceae","GBIF"
"Platanus occidentalis","Platanaceae","GBIF"
"Prunus americana","Rosaceae","GBIF"
"Quercus montana","Fagaceae","GBIF"
"Prunus serotina","Rosaceae","GBIF"
"Robinia pseudoacacia","Fabaceae","GBIF"
"Castanea dentata","Fagaceae","GBIF"
"Corylus americana","Betulaceae","GBIF"
"Quercus velutina","Fagaceae","GBIF"
"Pinus virginiana","Pinaceae","GBIF"
"Quercus alba","Fagaceae","GBIF"
"0",NA,"GBIF"
"Nunguno",NA,"GBIF"
"Juniperus thurifera","Cupressaceae","GBIF"
"Pinus nigra","Pinaceae","GBIF"
"Quercus faginea","Fagaceae","GBIF"
"Juniperus oxycedrus","Cupressaceae","GBIF"
