"query","family","db"
"Fagus sylvatica","Fagaceae","ncbi"
"Juniperus thurifera","Cupressaceae","ncbi"
"Pinus nigra","Pinaceae","ncbi"
"Quercus faginea","Fagaceae","ncbi"
"Juniperus oxycedrus","Cupressaceae","ncbi"
"Quercus ilex","Fagaceae","ncbi"
"Pinus pinea","Pinaceae","ncbi"
"Pinus halepensis","Pinaceae","ncbi"
"Encino",NA,NA
"Pinus maximinoi","Pinaceae","ncbi"
"Tabachin",NA,NA
"Palo de hule",NA,NA
"Palma",NA,NA
"Parota","Fabaceae","ncbi"
"Cedro rojo",NA,NA
"Cacahuanano",NA,NA
"Macuil mareño",NA,NA
"guanchal",NA,NA
"macuil",NA,NA
"mangal",NA,NA
"palo de piedra",NA,NA
"huele de noche",NA,NA
"guanchales",NA,NA
"manodante",NA,NA
"frijolillo","Fabaceae","ncbi"
"aguacatal",NA,NA
"caoba",NA,NA
"ciruela obo",NA,NA
"camaron",NA,NA
"caulote",NA,NA
"palo de hule",NA,NA
"maluco",NA,NA
"naranjo",NA,NA
"guanacastle",NA,NA
"mulato",NA,NA
"cedro rojo",NA,NA
"guarumbp",NA,NA
"nicyamal",NA,NA
"aguacatillo",NA,NA
"cuapinol",NA,NA
"coachepil",NA,NA
"palo ropa",NA,NA
"pataste",NA,NA
"hormiguero",NA,NA
"hormigiero",NA,NA
"Euphoria didyma",NA,NA
"Garcinia rubra",NA,NA
"Alangium meyeri",NA,NA
"Mimusops parvifolia",NA,NA
"Syzygium polycephaloides",NA,NA
"Syzygium nitidum",NA,NA
"Neonauclea reticulata","Rubiaceae","ncbi"
"Cratoxylum formosum","Hypericaceae","ncbi"
"Parinari glaberrima",NA,NA
"Antidesma ghaesembilla","Phyllanthaceae","ncbi"
"Stemonurus luzoniensis",NA,NA
"Ardisia squamulosa","Primulaceae","ncbi"
"Pedicellia fuscescens",NA,NA
"Diospyros pilosanthera","Ebenaceae","ncbi"
"Garcinia benthamii","Clusiaceae","ncbi"
"Myristica umbellata",NA,NA
"Neonauclea bartlingii","Rubiaceae","ncbi"
"Aglaia edulis","Meliaceae","ncbi"
"Dipterocarpus gracilis","Dipterocarpaceae","ncbi"
"Barringtonia racemosa","Lecythidaceae","ncbi"
"Epicharis cumingiana","Meliaceae","ncbi"
"Garcinia polyantha",NA,NA
"Cleistocalyx operculatus","Myrtaceae","ncbi"
"Cleidion spiciflorum",NA,NA
"Artocarpus nitidus","Moraceae","ncbi"
"Kleinhovia hospita","Malvaceae","ncbi"
"Gmelina","Lamiaceae","ncbi"
"Talauma villariana",NA,NA
"Myristica elliptica","Myristicaceae","ncbi"
"Pleioluma foxworthyi","Sapotaceae","ncbi"
"Ficus stipulata",NA,NA
"Chisocheton cumingianus","Meliaceae","ncbi"
"Cryptocarya laevigata","Lauraceae","ncbi"
"Albizia falcataria","Fabaceae","ncbi"
"Aglaia llanosiana",NA,NA
"Trichospermum discolor",NA,NA
"Swietenia mahagoni","Meliaceae","ncbi"
"Myristica philippensis",NA,NA
"testing - delete this please",NA,NA
"testing2 - delete this please",NA,NA
"testing3 - delete this please",NA,NA
"testing4 - delete this please",NA,NA
"Quercus ilex ballota",NA,NA
"Izote",NA,NA
"Palo de ropa",NA,NA
"Cuil chocolate",NA,NA
"Palos e cobré",NA,NA
"Chamicillo",NA,NA
"Cobre",NA,NA
"Palo achiote silvestre",NA,NA
"Palo de achiote silvestre",NA,NA
"Palo de canela",NA,NA
"Chamisillo",NA,NA
"Mano de León",NA,NA
"Tachuela",NA,NA
"Madrecacao",NA,NA
"Ciruela morado",NA,NA
"Mumato",NA,NA
"Guanche",NA,NA
"Mamey","Calophyllaceae","ncbi"
"Cuanacasle",NA,NA
"Ciruela de obo",NA,NA
"Palo de hoja seca",NA,NA
"Pata del gallo",NA,NA
"Clericidias",NA,NA
"Secropia",NA,NA
"Clerisidia sp",NA,NA
"Calistemo",NA,NA
"Vochysia guatemalensis","Vochysiaceae","ncbi"
"Magnolia grandiflora","Magnoliaceae","ncbi"
"Tabebuia erosa",NA,NA
"Ingas sp",NA,NA
"Laurel",NA,NA
"Quercus humboldtii","Fagaceae","ncbi"
"Saurauia villosa","Actinidiaceae","ncbi"
"Lonchocarpus utilis","Fabaceae","ncbi"
"Jicalpestle",NA,NA
"Cercidium microphyllum",NA,NA
"Wisteria sinensis","Fabaceae","ncbi"
"Mucuna argyrophylla","Fabaceae","ncbi"
"Parkinsonia aculeata","Fabaceae","ncbi"
"Palo de leche",NA,NA
"Cyrtocarpa edulis","Anacardiaceae","ncbi"
"Dioscorea composita","Dioscoreaceae","ncbi"
"Nance","Malpighiaceae","ncbi"
"Caoba",NA,NA
"Coyoute",NA,NA
"Cansin",NA,NA
"Persea","Lauraceae","ncbi"
"Adenostoma sparsifolium","Rosaceae","ncbi"
"Senna corymbosa","Fabaceae","ncbi"
"Cage",NA,NA
"Cimarro",NA,NA
"Palo d piedra",NA,NA
"Huan che",NA,NA
"cafeto",NA,NA
"homiguero",NA,NA
"Glochidion triandrum","Phyllanthaceae","ncbi"
"Nephelium mutabile","Sapindaceae","ncbi"
"Macaranga bicolor","Euphorbiaceae","ncbi"
"Ficus congesta","Moraceae","ncbi"
"Calophyllum","Calophyllaceae","ncbi"
"Juniperus communis","Cupressaceae","ncbi"
"Genista scorpius","Fabaceae","ncbi"
"testing1 - delete this please",NA,NA
".palo de ropa",NA,NA
"Huaje blanco",NA,NA
"Po hormiguero",NA,NA
"Caffe arábiga",NA,NA
"Coffea odorata","Rubiaceae","ncbi"
"un guanchal",NA,NA
"Dillenia philippinensis","Dilleniaceae","ncbi"
"Leea","Leeaceae","ncbi"
"Guarumo",NA,NA
"Sp1",NA,NA
"Sp2",NA,NA
"Sp3",NA,NA
"Angico",NA,NA
"Pata de vaca",NA,NA
"tree 2 test",NA,NA
"tree test",NA,NA
"Christmas tree","Pinaceae","ncbi"
"Palm tree",NA,NA
"Anotherus testus (seeing what happens when same tree number is used)",NA,NA
"Pretendus arbolus",NA,NA
"Testus Speciesus",NA,NA
"Jacaranda ulei","Bignoniaceae","ncbi"
"Myrsine guianensis","Primulaceae","ncbi"
"Annona silvestris",NA,NA
"Byrsonima sericea","Malpighiaceae","ncbi"
"Byrsonima verbascifolia","Malpighiaceae","ncbi"
"Eschweilera ovata","Lecythidaceae","ncbi"
"Miconia","Melastomataceae","ncbi"
"Senefeldera multiflora",NA,NA
"Syagrus botryophora","Arecaceae","ncbi"
"Tapirira guianensis","Anacardiaceae","ncbi"
"Vismia martiana",NA,NA
"Xylopia frutescens","Annonaceae","ncbi"
"Zanthoxylum nemorale",NA,NA
"Arapatiella psilophylla","Fabaceae","ncbi"
"Casearia sylvestris","Salicaceae","ncbi"
"Campomanesia dichotoma","Myrtaceae","ncbi"
"Copaifera","Fabaceae","ncbi"
"Coussapoa","Urticaceae","ncbi"
"Emmotum nitens","Metteniusaceae","ncbi"
"Inga affinis","Fabaceae","ncbi"
"Lecythis lurida","Lecythidaceae","ncbi"
"Margaritaria nobilis","Phyllanthaceae","ncbi"
"Swartzia polita","Fabaceae","ncbi"
"Thyrsodium spruceanum","Anacardiaceae","ncbi"
"Xylopia aromatica","Annonaceae","ncbi"
"Allophylus sericeus",NA,NA
"Coccoloba alnifolia","Polygonaceae","ncbi"
"Croton floribundus","Euphorbiaceae","ncbi"
"Guatteria","Annonaceae","ncbi"
"Inga subnuda","Fabaceae","ncbi"
"Melanoxylon brauna","Fabaceae","ncbi"
"Ormosia","Fabaceae","ncbi"
"Randia armata","Rubiaceae","ncbi"
"Myrcia fallax","Myrtaceae","ncbi"
"Pogonophora schomburgkiana","Peraceae","ncbi"
"Pouteria venosa","Sapotaceae","ncbi"
"Pterocarpus rohrii","Fabaceae","ncbi"
"Schefflera morototoni","Araliaceae","ncbi"
"Andira fraxinifolia","Fabaceae","ncbi"
"Casearia commersoniana","Salicaceae","ncbi"
"Eschweilera mattos-silvae","Lecythidaceae","ncbi"
"Jacaranda semiserrata",NA,NA
"Lecythis pisonis","Lecythidaceae","ncbi"
"Moldenhawera blanchetiana","Fabaceae","ncbi"
"Pera glabrata","Peraceae","ncbi"
"Sloanea obtusifolia",NA,NA
"Tabernaemontana","Apocynaceae","ncbi"
"Bowdichia virgilioides","Fabaceae","ncbi"
"Desconhecida",NA,NA
"Pera heteranthera","Peraceae","ncbi"
"Tapura guianensis","Dichapetalaceae","ncbi"
"Albizia polycephala","Fabaceae","ncbi"
"Cuspia sp.",NA,NA
"Balizia pedicellaris","Fabaceae","ncbi"
"Dimorphandra jorgei","Fabaceae","ncbi"
"Abarema","Fabaceae","ncbi"
"Himatanthus phagedaenicus",NA,NA
"Piptadenia macrocarpa",NA,NA
"Alseis floribunda","Rubiaceae","ncbi"
"Aspidosperma discolor",NA,NA
"Aspidosperma polyneuron","Apocynaceae","ncbi"
"Caesalpinia","Fabaceae","ncbi"
"Ceiba speciosa","Malvaceae","ncbi"
"Chrysophyllum","Sapotaceae","ncbi"
"Dulacia papillosa",NA,NA
"Guapira nitida",NA,NA
"Handroanthus albus","Bignoniaceae","ncbi"
"Heisteria","Erythropalaceae","ncbi"
"Plinia","Myrtaceae","ncbi"
"Pradosia lactescens","Sapotaceae","ncbi"
"Vatairea heteroptera","Fabaceae","ncbi"
"Vismia latifolia","Hypericaceae","ncbi"
"Cordia","Cordiaceae","ncbi"
"Pati",NA,NA
"Cupania vernalis","Sapindaceae","ncbi"
"Andira anthelmia","Fabaceae","ncbi"
"Centrolobium robustum","Fabaceae","ncbi"
"Terminalia dichotoma",NA,NA
"Desconhecida 2",NA,NA
"Vismia guianensis","Hypericaceae","ncbi"
"Attalea funifera","Arecaceae","ncbi"
"Bauhinia longifolia","Fabaceae","ncbi"
"Sp5",NA,NA
"Sp6",NA,NA
"Sp7",NA,NA
"Siparuna guianensis","Siparunaceae","ncbi"
"Hieronyma alchorneoides","Phyllanthaceae","ncbi"
"Xylopia sericea","Annonaceae","ncbi"
"Cupania oblongifolia","Sapindaceae","ncbi"
"Miconia albicans","Melastomataceae","ncbi"
"Baccharis calvescens","Asteraceae","ncbi"
"Pera decipiens",NA,NA
"Heisteria ovata","Erythropalaceae","ncbi"
"Vismia pentagyna",NA,NA
"Paypayrola blanchetiana","Violaceae","ncbi"
"Handroanthus chrysotrichus","Bignoniaceae","ncbi"
"Myrsine ferruginea","Primulaceae","ncbi"
"Angelim",NA,NA
"Tinyus treeus",NA,NA
"Smallus baumus",NA,NA
"Sp9",NA,NA
"Sp10",NA,NA
"Canela de velho",NA,NA
"Pequi de capoeira",NA,NA
"Plantedus treeus",NA,NA
"Mas plantedii",NA,NA
"already planted test",NA,NA
"already planted test 2",NA,NA
"Big Tree",NA,NA
"Bigger Tree",NA,NA
"little tree census test",NA,NA
"litte tree census test 2",NA,NA
"planted xmas tree",NA,NA
"Pinus sylvestris","Pinaceae","ncbi"
"Quercus robar",NA,NA
"Populus","Salicaceae","ncbi"
"Prunus avium","Rosaceae","ncbi"
"Quercus","Fagaceae","ncbi"
"Carpinus betulus","Betulaceae","ncbi"
"Pinus","Pinaceae","ncbi"
"Betula pendula","Betulaceae","ncbi"
"Betula","Betulaceae","ncbi"
"Acer pseudoplatanus","Sapindaceae","ncbi"
"Fagus silvatica",NA,NA
"Tilia cordata","Malvaceae","ncbi"
"Cecropia peltata","Urticaceae","ncbi"
"Taxus baccata","Taxaceae","ncbi"
"Inga spuria",NA,NA
"Juglans regia","Juglandaceae","ncbi"
"Garcinia intermedia","Clusiaceae","ncbi"
"Gliricidia sepium","Fabaceae","ncbi"
"Crescentia alata","Bignoniaceae","ncbi"
"Persea caerulea","Lauraceae","ncbi"
"Cedrela odorata","Meliaceae","ncbi"
"Dracaena fragrans","Asparagaceae","ncbi"
"Bursera simaruba","Burseraceae","ncbi"
"Spondias mombin","Anacardiaceae","ncbi"
"Persea americana","Lauraceae","ncbi"
"Citrus","Rutaceae","ncbi"
"Inga vera","Fabaceae","ncbi"
"Dendropanax","Araliaceae","ncbi"
"Mangifera","Anacardiaceae","ncbi"
"Cupania dentata","Sapindaceae","ncbi"
"Annona squamosa","Annonaceae","ncbi"
"Croton draco","Euphorbiaceae","ncbi"
"Liquidambar styraciflua","Altingiaceae","ncbi"
"Citrus hystrix","Rutaceae","ncbi"
"Zanthoxylum rhoifolium","Rutaceae","ncbi"
"Hibiscus elatus","Malvaceae","ncbi"
"Quercus xalapensis","Fagaceae","ncbi"
"Palo de canela silvestre",NA,NA
"Palo de leche amarillo",NA,NA
"Pinus chiapensis","Pinaceae","ncbi"
"Palo de pajarito",NA,NA
"Quercus robur","Fagaceae","ncbi"
"Avicennia marina","Acanthaceae","ncbi"
"Sorbus torminalis","Rosaceae","ncbi"
"Douglas",NA,NA
"Sorbus aucuparia","Rosaceae","ncbi"
"Carpinus","Betulaceae","ncbi"
"Acer campestre","Sapindaceae","ncbi"
NA,NA,NA
"Diphysa americana","Fabaceae","ncbi"
"Larix decidua","Pinaceae","ncbi"
"Fraises exelsion",NA,NA
"Atriplex canescens","Chenopodiaceae","ncbi"
"sjdjd",NA,NA
"jd",NA,NA
"ueyeg",NA,NA
"yzyz",NA,NA
"Tectona grandis","Lamiaceae","ncbi"
"Intsia bijuga","Fabaceae","ncbi"
"Eugenia montalbanica",NA,NA
"Quercus rugosa","Fagaceae","ncbi"
"Guazuma ulmifolia","Malvaceae","ncbi"
"Coffea arabica","Rubiaceae","ncbi"
"Não possue",NA,NA
"Brosimum alicastrum","Moraceae","ncbi"
"Beilschmiedia riparia",NA,NA
"Msangu",NA,NA
"Mphakasa",NA,NA
"Msambafumu",NA,NA
"Mtondo",NA,NA
"Msolo",NA,NA
"Faidherbia albida","Fabaceae","ncbi"
"Khaya anthotheca","Meliaceae","ncbi"
"Chitimbe",NA,NA
"Acacia polyacantha","Fabaceae","ncbi"
"Mwavi",NA,NA
"Matowo",NA,NA
"Mlonde",NA,NA
"mphakasa",NA,NA
"mlonde",NA,NA
"chitimbe",NA,NA
"mbawa",NA,NA
"msambafumu",NA,NA
"mtondo",NA,NA
"Dipterocarpus grandiflorus","Dipterocarpaceae","ncbi"
"Swietenia","Meliaceae","ncbi"
"Pouteria villamilii",NA,NA
"Diospyros blancoi","Ebenaceae","ncbi"
"Bauhinia","Fabaceae","ncbi"
"Mthethe",NA,NA
"Afzelia quanzensis","Fabaceae","ncbi"
"Mbawa",NA,NA
"Pterocarpus indicus","Fabaceae","ncbi"
"Trachylobium verrucosum",NA,NA
"Hevea brasiliensis","Euphorbiaceae","ncbi"
"Cassia siamea","Fabaceae","ncbi"
"Pentaclethra macrophylla","Fabaceae","ncbi"
"Cassia floribunda","Fabaceae","ncbi"
