"species","status","alien_range","native_range","summary"
"Eucalyptus amplifolia","Not in GISD",NA,NA,NA
"Eucalyptus cinerea","Not in GISD",NA,NA,NA
"Eucalyptus dives","Not in GISD",NA,NA,NA
"Eucalyptus macrorhyncha","Not in GISD",NA,NA,NA
"Eucalyptus melliodora","Not in GISD",NA,NA,NA
"trees","Not in GISD",NA,NA,NA
"Allocasurina verticillata","Not in GISD",NA,NA,NA
"Bursaria spinosa","Not in GISD",NA,NA,NA
"Eucalyptus ovata","Not in GISD",NA,NA,NA
"Eucalyptus viminalis","Not in GISD",NA,NA,NA
"Leptospermum contientale","Not in GISD",NA,NA,NA
"Leptospermum lanigerum","Not in GISD",NA,NA,NA
"Acacia pycnantha","Not in GISD",NA,NA,NA
"Alchornea triplinervia (Spreng.) Müll. Arg.","Not in GISD",NA,NA,NA
"Allophyllus edulis (St. Hill.) Radlk.","Not in GISD",NA,NA,NA
"Andira fraxinifolia Benth.","Not in GISD",NA,NA,NA
"Annona coriaceae Mart.","Not in GISD",NA,NA,NA
"Annona mucosa","Not in GISD",NA,NA,NA
"Annona muricata","Not in GISD",NA,NA,NA
"Araça","Not in GISD",NA,NA,NA
"Arapatiella psilophylla (Harms)","Not in GISD",NA,NA,NA
"Astronium fraxinifolium","Not in GISD",NA,NA,NA
"Bauhinia forficata Link","Not in GISD",NA,NA,NA
"Bixa arborea Benth.","Not in GISD",NA,NA,NA
"Bixa orellana","Not in GISD",NA,NA,NA
"Byrsonima sericea","Not in GISD",NA,NA,NA
"Caderno de capoeira","Not in GISD",NA,NA,NA
"Caesalpinea echinata Lamark","Not in GISD",NA,NA,NA
"Caesalpinea ferrea Mart.","Not in GISD",NA,NA,NA
"Calophyllum brasiliense","Not in GISD",NA,NA,NA
"Cambui vermelho","Not in GISD",NA,NA,NA
"Capororoca","Not in GISD",NA,NA,NA
"Cariniana legalis (Mart.) Kuntze","Not in GISD",NA,NA,NA
"Cecropia","Not in GISD",NA,NA,NA
"Cedrella odorata L.","Not in GISD",NA,NA,NA
"Centrolobium robustum","Not in GISD",NA,NA,NA
"Chloroleucon tortum","Not in GISD",NA,NA,NA
"Clarisia racemosa R. & Pav.","Not in GISD",NA,NA,NA
"Copaifera lucens Dwyer","Not in GISD",NA,NA,NA
"Cordia magnoliifolia Cham.","Not in GISD",NA,NA,NA
"Cordia trichotoma (Vell.) Arr. Ex. Steudl.","Not in GISD",NA,NA,NA
"Croton urucurana","Not in GISD",NA,NA,NA
"Cytharexyllum myrianthum Cham.","Not in GISD",NA,NA,NA
"Dalbergia nigra Fr. All.","Not in GISD",NA,NA,NA
"Embauba","Not in GISD",NA,NA,NA
"Embiruçu","Not in GISD",NA,NA,NA
"Enterolobium contortisiliquum (Vell.) Morong.","Not in GISD",NA,NA,NA
"Eschweilera ovata (Camb.) Miers","Not in GISD",NA,NA,NA
"Eugenia florida DC.","Not in GISD",NA,NA,NA
"Eugenia uniflora L.","Not in GISD",NA,NA,NA
"Farinha seca","Not in GISD",NA,NA,NA
"Ficus enormis (Mart. Ex Miq.) Miq.","Not in GISD",NA,NA,NA
"Folheiro","Not in GISD",NA,NA,NA
