"Species","matched_name2","score","data_source_title"
"Conocarpus erectus","Conocarpus erectus",0.988,"The International Plant Names Index"
"Acacia","Acacia",0.75,"Tropicos - Missouri Botanical Garden"
"Anona","Anona",0.75,"Tropicos - Missouri Botanical Garden"
"Chrysophyllum mexicanum","Chrysophyllum mexicanum",0.75,"Tropicos - Missouri Botanical Garden"
"Citrus latifolia","Citrus latifolia",0.988,"Tropicos - Missouri Botanical Garden"
"Eysenhardtia adenostylis","Eysenhardtia adenostylis",0.988,"Tropicos - Missouri Botanical Garden"
"Piscidia","Piscidia",0.75,"Tropicos - Missouri Botanical Garden"
"Citrus paradisi","Citrus paradisi",0.75,"Tropicos - Missouri Botanical Garden"
"Annona reticulata","Annona reticulata",0.988,"The International Plant Names Index"
"Guarea grandifolia","Guarea grandifolia",0.988,"Tropicos - Missouri Botanical Garden"
"Nectandra membranacea","Nectandra membranacea",0.988,"Tropicos - Missouri Botanical Garden"
"Annona purpurea","Annona purpurea",0.75,"Tropicos - Missouri Botanical Garden"
"Parmentiera aculeata","Parmentiera aculeata",0.988,"Tropicos - Missouri Botanical Garden"
"Cacao","Cacao",0.75,"Tropicos - Missouri Botanical Garden"
"Purshia mexicana","Purshia mexicana",NA,"Manual validation"
"Ceiba","Ceiba",0.75,"Tropicos - Missouri Botanical Garden"
"Theobroma","Theobroma",0.75,"Tropicos - Missouri Botanical Garden"
"Musa paradisiaca","Musa paradisiaca",0.988,"The International Plant Names Index"
"Pouteria glomerata","Pouteria glomerata",0.988,"The International Plant Names Index"
"Pouteria sapota","Pouteria sapota",0.75,"Tropicos - Missouri Botanical Garden"
"Monstera deliciosa","Monstera deliciosa",0.988,"The International Plant Names Index"
"Piscielia piscipule (blanco)","Piscidia piscipula",NA,"Manual validation"
"Cordia megalantha","Cordia megalantha",0.988,"Tropicos - Missouri Botanical Garden"
"Cupania guatemaltensis","Cupania guatemalensis",0.75,"Tropicos - Missouri Botanical Garden"
"Pisciela piscipule (blanco)","Piscidia piscipula",NA,"Manual validation"
"Zanthoxylum fagara","Zanthoxylum fagara",0.988,"Tropicos - Missouri Botanical Garden"
"Piscielia piscipule","Piscidia piscipula",NA,"Manual validation"
"Dendroponax","Dendropanax",NA,"Manual validation"
"Diphisa americana","Diphysa americana",0.75,"Tropicos - Missouri Botanical Garden"
"Bixa orellana","Bixa orellana",0.988,"Tropicos - Missouri Botanical Garden"
"Mora (albol deconocido no identificado)","Mora",0.75,"Tropicos - Missouri Botanical Garden"
"Morus","Morus",0.75,"The International Plant Names Index"
"Cuponia Guatemalensis","Cupania guatemalensis",NA,"Manual validation"
"Muntigia calabura","Muntingia calabura",0.75,"Tropicos - Missouri Botanical Garden"
"Zanthoxylum riedelianum Engle","Zanthoxylum riedelianum",0.997,"Tropicos - Missouri Botanical Garden"
"Persea shiedeana","Persea schiedeana",0.75,"Tropicos - Missouri Botanical Garden"
"Vochysia vismiifolia","Vochysia vismiifolia",0.988,"The International Plant Names Index"
"Chrysobalunus Icacoa","Chrysobalanus icaco",NA,"Manual validation"
"Laurus nobilia","Laurus nobilis",0.75,"Tropicos - Missouri Botanical Garden"
"Cordia elaeagnoides","Cordia elaeagnoides",0.988,"Tropicos - Missouri Botanical Garden"
"Bursera","Bursera",0.75,"The International Plant Names Index"
"Prunus webbii","Prunus webbii",0.988,"The International Plant Names Index"
"Terminalia microcarpa","Terminalia microcarpa",0.988,"Tropicos - Missouri Botanical Garden"
"Guioa pleuropteris","Guioa pleuropteris",0.988,"Tropicos - Missouri Botanical Garden"
"Aglaia luzoniensis","Aglaia luzoniensis",0.988,"Tropicos - Missouri Botanical Garden"
"Mussaenda philippica","Mussaenda philippica",0.988,"Tropicos - Missouri Botanical Garden"
"Drypetes grandifolia","Drypetes grandifolia",0.988,"Tropicos - Missouri Botanical Garden"
"Dalbergia melanoxylon","Dalbergia melanoxylon",NA,NA
"Alicia","Alicia",0.75,"Tropicos - Missouri Botanical Garden"
"Tecoma stans","Tecoma stans",NA,NA
"Senna macranthera","Senna macranthera",NA,NA
"Beilschmiedia","Beilschmiedia",0.75,"The International Plant Names Index"
"Vitex doniana","Vitex doniana",NA,NA
"Uappaka kirkiana","Uappaka kirkiana",NA,NA
"Jatropha gossypiifolia","Jatropha gossypiifolia",0.988,"The International Plant Names Index"
"Homalium","Homalium",0.75,"Tropicos - Missouri Botanical Garden"
"Lonchocarpus xuul","Lonchocarpus xuul",0.988,"Tropicos - Missouri Botanical Garden"
"Dalbergia calycina","Dalbergia calycina",0.988,"Tropicos - Missouri Botanical Garden"
"Theobroma cacao","Theobroma cacao",0.988,"The International Plant Names Index"
"Garcinia smeathmanii","Garcinia smeathmanii",0.988,"Tropicos - Missouri Botanical Garden"
"Swietenia macrophylla","Swietenia macrophylla",0.75,"Tropicos - Missouri Botanical Garden"
"Syzygium phanerophlebium","Syzygium phanerophlebium",0.988,"Tropicos - Missouri Botanical Garden"
"Thilachium verrucosum","Thilachium verrucosum",0.75,"The International Plant Names Index"
"Dalbergia monticola","Dalbergia monticola",0.988,"Tropicos - Missouri Botanical Garden"
"Eriobotrya","Eriobotrya",NA,"Manual validation"
"Majidea zanguebarica","Majidea zanguebarica",0.988,"Tropicos - Missouri Botanical Garden"
"Croton noronhae","Croton noronhae",0.988,"Tropicos - Missouri Botanical Garden"
"Desmodium barbatum","Desmodium barbatum",0.988,"The International Plant Names Index"
"Canarium madagascariense","Canarium madagascariense",0.75,"Tropicos - Missouri Botanical Garden"
"Aloe serra","Aloe serra",0.75,"Tropicos - Missouri Botanical Garden"
"Euphorbia tulearensis","Euphorbia tulearensis",0.988,"Tropicos - Missouri Botanical Garden"
"Uapaca thouarsii","Uapaca thouarsii",0.75,"Tropicos - Missouri Botanical Garden"
"Desmodium","Desmodium",0.75,"Tropicos - Missouri Botanical Garden"
"Clidemia hirta","Clidemia hirta",0.75,"Tropicos - Missouri Botanical Garden"
"Diospyros","Diospyros",NA,"Manual validation"
"Thilachium sumangui","Thilachium sumangui",0.988,"Tropicos - Missouri Botanical Garden"
"Philippia floribunda","Philippia floribunda",0.75,"Tropicos - Missouri Botanical Garden"
"Entada","Entada",0.75,"Tropicos - Missouri Botanical Garden"
"Rourea orientalis","Rourea orientalis",0.988,"Tropicos - Missouri Botanical Garden"
"Cestrum nocturnum","Cestrum nocturnum",0.988,"The International Plant Names Index"
"Chamaedorea elegans","Chamaedorea elegans",0.988,"The International Plant Names Index"
"Myrciaria floribunda","Myrciaria floribunda",0.988,"Tropicos - Missouri Botanical Garden"
"Chamaedorea tepejilote","Chamaedorea tepejilote",0.988,"Tropicos - Missouri Botanical Garden"
"Cornus amomum","Cornus amomum",0.75,"Tropicos - Missouri Botanical Garden"
"Acer rubrum","Acer rubrum",0.988,"The International Plant Names Index"
"Rhus typhina","Rhus typhina",NA,"Manual validation"
"Rhus copallinum","Rhus copallinum",NA,"Manual validation"
"Liriodendron tulipifera","Liriodendron tulipifera",0.988,"Tropicos - Missouri Botanical Garden"
"Annoma muricata","Annona muricata",0.75,"Tropicos - Missouri Botanical Garden"
"Trichilia havanensis","Trichilia havanensis",0.988,"The International Plant Names Index"
"Leucosyke capitellata","Leucosyke capitellata",0.988,"Tropicos - Missouri Botanical Garden"
"Ficus septica","Ficus septica",0.988,"The International Plant Names Index"
"Vernonia glutinosa","Vernonia glutinosa",0.988,"Tropicos - Missouri Botanical Garden"
"Trema orientale","Trema orientale",NA,"Manual validation"
"Syzygium","Syzygium",0.75,"Tropicos - Missouri Botanical Garden"
"Philippia madagascariensis","Philippia madagascariensis",0.988,"Tropicos - Missouri Botanical Garden"
"Plumeria rubra","Plumeria rubra",0.988,"The International Plant Names Index"
"Buddleja madagascariensis","Buddleja madagascariensis",0.988,"Tropicos - Missouri Botanical Garden"
"Cnestis polyphylla","Cnestis polyphylla",0.988,"Tropicos - Missouri Botanical Garden"
"Olax glabriflora","Olax glabriflora",0.988,"Tropicos - Missouri Botanical Garden"
"Asplenium pellucidum","Asplenium pellucidum",0.988,"Tropicos - Missouri Botanical Garden"
"Fucus","Fucus",0.75,"Tropicos - Missouri Botanical Garden"
"Erica","Erica",0.75,"The International Plant Names Index"
"""Artocarpus blancoi  (Elmer) Merr. ""","Artocarpus blancoi",NA,NA
". Harungana Madagascariensis","Harungana madagascariensis",NA,"Manual validation"
" Persea americana","Persea americana",NA,"Manual validation"
"Acácia","Acacia",0.75,"The International Plant Names Index"
"Acacia Cornifera","Acacia cornigera",0.75,"Tropicos - Missouri Botanical Garden"
"Acacia hinsu","Acacia",0.75,"Tropicos - Missouri Botanical Garden"
"Acacia Polyacatha","Acacia polyacantha",NA,NA
"Acacia polyacatha","Acacia polyacantha",0.75,"Tropicos - Missouri Botanical Garden"
"Acasia collinsii","Acacia collinsii",0.75,"Tropicos - Missouri Botanical Garden"
"Acasia farnesiana","Acacia farnesiana",0.75,"Tropicos - Missouri Botanical Garden"
"Acer campestris","Acer campestre",0.75,"Tropicos - Missouri Botanical Garden"
"Adenatera pavonina","Adenanthera pavonina",NA,"Manual validation"
"Albbizia gummifera","Albizia gummifera",0.75,"Tropicos - Missouri Botanical Garden"
"Albbizia lebbeck","Albizia lebbeck",0.75,"Tropicos - Missouri Botanical Garden"
"Albezia lebbeck","Albizia lebbeck",0.75,"Tropicos - Missouri Botanical Garden"
"Albezzia gummifera","Albizia gummifera",NA,"Manual validation"
"Albisia","Albizia",NA,"Manual validation"
"Albisia adantifalia","Albizia adianthifolia",NA,"Manual validation"
"Albisia adantifolia","Albizia adianthifolia",0.75,"Tropicos - Missouri Botanical Garden"
"Albisia adantiforlia","Albizia adianthifolia",NA,"Manual validation"
"Albizia adentifolia","Albizia adianthifolia",0.75,"Tropicos - Missouri Botanical Garden"
"Albizia bijuga","Albizia",0.75,"Tropicos - Missouri Botanical Garden"
"Albizia gummifera ","Albizia",0.75,"Tropicos - Missouri Botanical Garden"
"Albizia gumminifera","Albizia gummifera",0.75,"Tropicos - Missouri Botanical Garden"
"Albizia gumnifera","Albizia gummifera",0.75,"Tropicos - Missouri Botanical Garden"
"Albizia gymnifera","Albizia gummifera",0.75,"Tropicos - Missouri Botanical Garden"
"Albizia Lebbeck","Albizia lebbeck",0.988,"Tropicos - Missouri Botanical Garden"
"Albizia lebeck","Albizia lebbeck",0.75,"Tropicos - Missouri Botanical Garden"
"Albizzia  gummifera","Albizia gummifera",0.75,"Tropicos - Missouri Botanical Garden"
"Albizzia gumifera","Albizia gummifera",0.75,"Tropicos - Missouri Botanical Garden"
"Albizzia gummifera","Albizia gummifera",0.75,"Tropicos - Missouri Botanical Garden"
"Albizzia gummifera ","Albizzia",0.75,"Tropicos - Missouri Botanical Garden"
"Albizzia gumminifera","Albizia gummifera",0.75,"Tropicos - Missouri Botanical Garden"
"Albizzia perrieri","Albizia perrieri",0.75,"Tropicos - Missouri Botanical Garden"
"Alfzelia quenzensis","Afzelia quanzensis",0.75,"Tropicos - Missouri Botanical Garden"
"Alfzelia quenzesis","Afzelia quanzensis",NA,NA
"Alibizzia gummifera","Albizia gummifera",NA,"Manual validation"
"Alicia niopides","Alicia",0.75,"Tropicos - Missouri Botanical Garden"
"Aloe verra","Aloe serra",0.75,"Tropicos - Missouri Botanical Garden"
"Alstonia scholaris (L.)","Alstonia scholaris",NA,NA
"Alstonia scholaris (l.)","Alstonia scholaris",0.988,"Tropicos - Missouri Botanical Garden"
"Andira  enermis","Andira inermis",0.75,"Tropicos - Missouri Botanical Garden"
"Andira Sp","Andira",0.75,"Tropicos - Missouri Botanical Garden"
"Andira sp","Andira",0.75,"Tropicos - Missouri Botanical Garden"
"Andira sp.","Andira",0.75,"Tropicos - Missouri Botanical Garden"
"Annoma squamosa","Annona squamosa",0.75,"Tropicos - Missouri Botanical Garden"
"Annona squamaso","Annona squamosa",0.75,"Tropicos - Missouri Botanical Garden"
"Anona macroprophyllata","Annona macroprophyllata",0.75,"Tropicos - Missouri Botanical Garden"
"Anona purpurea","Annona purpurea",0.75,"Tropicos - Missouri Botanical Garden"
"Anona sp","Anona",0.75,"Tropicos - Missouri Botanical Garden"
"Anonacea","Annonaceae",NA,NA
"Anonna","Annona",NA,"Manual validation"
"Antoteca pavonina","Adenanthera pavonina",NA,"Manual validation"
"Apericopsis elata","Pericopsis elata",0.75,"Tropicos - Missouri Botanical Garden"
"Artocapus heterophyllus","Artocarpus heterophyllus",0.75,"Tropicos - Missouri Botanical Garden"
"Artocapus heteropyllus","Artocarpus heterophyllus",0.75,"Tropicos - Missouri Botanical Garden"
"Artocarpus anisophyllus Miq","Artocarpus anisophyllus",NA,NA
"Artocarpus anisophyllus miq","Artocarpus anisophyllus",0.988,"Tropicos - Missouri Botanical Garden"
"Artocarpus anisophyllus Miq.","Artocarpus anisophyllus",NA,NA
"Artocarpus anisophyllus miq.","Artocarpus anisophyllus",0.999,"Tropicos - Missouri Botanical Garden"
"Artocarpus blancoi  (Elmer) Merr.","Artocarpus blancoi",NA,NA
"Artocarpus blancoi  (elmer) merr.","Artocarpus blancoi",0.988,"Tropicos - Missouri Botanical Garden"
"Artocarpus heterophyllis","Artocarpus heterophyllus",0.75,"Tropicos - Missouri Botanical Garden"
"Artocarpus heterophyllism","Artocarpus heterophyllus",0.75,"Tropicos - Missouri Botanical Garden"
"Artocarpus heterophyllous","Artocarpus heterophyllus",0.75,"Tropicos - Missouri Botanical Garden"
"Artocarpus heterophylus","Artocarpus heterophyllus",0.75,"Tropicos - Missouri Botanical Garden"
"Artocarpus heterphyllis","Artocarpus heterophyllus",0.75,"Tropicos - Missouri Botanical Garden"
"Aspidosperma magalocarpon","Aspidosperma megalocarpon",0.75,"Tropicos - Missouri Botanical Garden"
"Aspidosperma Megalorcapon","Aspidosperma megalocarpon",0.75,"Tropicos - Missouri Botanical Garden"
"Asteropeia micraster ","Asteropeia",0.75,"Tropicos - Missouri Botanical Garden"
"Astronium  graveolens","Astronium graveolens",0.988,"The International Plant Names Index"
"Aveccinia Marina","Avicennia marina",NA,"Manual validation"
"Avicenna Marina","Avicennia marina",NA,NA
"Avicenna marina","Avicennia marina",0.75,"Tropicos - Missouri Botanical Garden"
"Avicenna Marina ( >250cm)","Avicennia marina",NA,NA
"Avicenna marina ( >250cm)","Avicennia marina",0.75,"Tropicos - Missouri Botanical Garden"
"Avicenna Marina (<1 DBH)","Avicennia marina",NA,NA
"Avicenna marina (<1 dbh)","Avicennia marina",0.75,"Tropicos - Missouri Botanical Garden"
"Avicenna Marina (<130cm)","Avicennia marina",NA,NA
"Avicenna marina (<130cm)","Avicennia marina",0.75,"Tropicos - Missouri Botanical Garden"
"Avicenna Marina (>250cm)","Avicennia marina",NA,NA
"Avicenna marina (>250cm)","Avicennia marina",0.75,"Tropicos - Missouri Botanical Garden"
"Avicenna Marina (>9.9cm DBH)","Avicennia marina",NA,NA
"Avicenna marina (>9.9cm dbh)","Avicennia marina",0.75,"Tropicos - Missouri Botanical Garden"
"Avicenna Marina (130-250cm )","Avicennia marina",0.75,"Tropicos - Missouri Botanical Garden"
"Avicenna Marina (130-250cm)","Avicennia marina",NA,NA
"Avicenna marina (130-250cm)","Avicennia marina",0.75,"Tropicos - Missouri Botanical Garden"
"Avicenna Marina (1-9.9cm DBH)","Avicennia marina",NA,NA
"Avicenna marina (1-9.9cm dbh)","Avicennia marina",0.75,"Tropicos - Missouri Botanical Garden"
"Avicenna Marina (Total)","Avicennia marina",NA,NA
"Avicenna marina (total)","Avicennia marina",0.75,"Tropicos - Missouri Botanical Garden"
"Avicenna Marina <130cm","Avicennia marina",NA,NA
"Avicenna marina <130cm","Avicennia marina",0.75,"Tropicos - Missouri Botanical Garden"
"Avicennia marina (<130cm)","Avicennia marina",0.988,"Tropicos - Missouri Botanical Garden"
"Avicennia marina (130-250cm)","Avicennia marina",0.988,"Tropicos - Missouri Botanical Garden"
"Baillonella toxysperma","Baillonella toxisperma",0.75,"Tropicos - Missouri Botanical Garden"
"Baillonellatoxysperma","Baillonella toxisperma",NA,"Manual validation"
"Baudonia fluggeiformis","Baudouinia fluggeiformis",NA,"Manual validation"
"Baudouina flugeiformis","Baudouinia fluggeiformis",0.75,"Tropicos - Missouri Botanical Garden"
"Baudouinia fluggeiformis ","Baudouinia",0.75,"Tropicos - Missouri Botanical Garden"
"Baudouiniz fluggeiformis","Baudouinia fluggeiformis",0.75,"Tropicos - Missouri Botanical Garden"
"Baudounia fluggeiformis","Baudouinia fluggeiformis",0.75,"Tropicos - Missouri Botanical Garden"
"Bauhia","Bauhinia",NA,NA
"bauhinia","Bauhinia",NA,NA
"Bauhinia variegata L.","Bauhinia variegata",NA,NA
"Bauhinia variegata l.","Bauhinia variegata",0.999,"Tropicos - Missouri Botanical Garden"
"Baundonia flugguformis","Baudouinia fluggeiformis",NA,"Manual validation"
"Beilchmiedia riparia","Beilschmiedia riparia",0.75,"Tropicos - Missouri Botanical Garden"
"Beilschmedia glomerata","Beilschmiedia glomerata",0.75,"Tropicos - Missouri Botanical Garden"
"Beilschmieda riparia","Beilschmiedia riparia",0.75,"Tropicos - Missouri Botanical Garden"
"Beilschmiedia ruparia","Beilschmiedia riparia",0.75,"Tropicos - Missouri Botanical Garden"
"Belschmiedia riparia","Beilschmiedia riparia",0.75,"Tropicos - Missouri Botanical Garden"
"Betula sp","Betula",0.75,"Tropicos - Missouri Botanical Garden"
"Black cherry","Prunus serotina",NA,"Manual validation"
"Bobgunia","Bobgunnia",NA,"Manual validation"
"Bobgunia fistuloide","Bobgunnia fistuloides",0.75,"Tropicos - Missouri Botanical Garden"
"Bobgunia fustuloide","Bobgunnia fistuloides",0.75,"Tropicos - Missouri Botanical Garden"
"Bobgunnia Fistuloides","Bobgunnia fistuloides",0.988,"Tropicos - Missouri Botanical Garden"
"Brachylaena perieri","Brachylaena perrieri",0.75,"Tropicos - Missouri Botanical Garden"
"Brachylaena perrier","Brachylaena perrieri",0.75,"Tropicos - Missouri Botanical Garden"
"Brachylaena pirreiri","Brachylaena perrieri",0.75,"Tropicos - Missouri Botanical Garden"
"Brachylaena reflexa","Brachylaena",0.75,"Tropicos - Missouri Botanical Garden"
"Brachystigia","Brachystegia",0.5,"Tropicos - Missouri Botanical Garden"
"brosimum alicastrum.","Brosimum",0.75,"Tropicos - Missouri Botanical Garden"
"Brosumum alicastrum","Brosimum alicastrum",0.75,"Tropicos - Missouri Botanical Garden"
"Brursera cimagura","Bursera simaruba",NA,"Manual validation"
"Brysonima  crassifolia","Byrsonima crassifolia",0.75,"Tropicos - Missouri Botanical Garden"
"Brysonima crassifolia","Byrsonima crassifolia",0.75,"Tropicos - Missouri Botanical Garden"
"Buchanania arborescens (Blume)","Buchanania arborescens",NA,NA
"Buchanania arborescens (blume)","Buchanania arborescens",0.988,"Tropicos - Missouri Botanical Garden"
"Bursera Simaruba","Bursera simaruba",0.988,"The International Plant Names Index"
"Byrsonima Crassifolia","Byrsonima crassifolia",0.988,"The International Plant Names Index"
"Cédrela odorata","Cedrela odorata",0.988,"Tropicos - Missouri Botanical Garden"
"CÉDULA ODORATA","Cedrela odorata",NA,"Manual validation"
"Caccia ciamea","Senna siamea",NA,"Manual validation"
"Caccia floribunda","Acacia floribunda",NA,"Manual validation"
"Café","Cafe",0.75,"Tropicos - Missouri Botanical Garden"
"Café arabica","Cafe",0.75,"Tropicos - Missouri Botanical Garden"
"Caffe arabica","Coffea arabica",NA,"Manual validation"
"Caffea arabica","Coffea arabica",0.75,"Tropicos - Missouri Botanical Garden"
"Caffea mangoroensis portères","Coffea mangoroensis",0.75,"Tropicos - Missouri Botanical Garden"
"Callistemon citrinus,","Callistemon citrinus",0.988,"Tropicos - Missouri Botanical Garden"
"Calophyllum blancoi Pl. & Tr.","Calophyllum blancoi",NA,NA
"Calophyllum blancoi pl. & tr.","Calophyllum blancoi",0.988,"Tropicos - Missouri Botanical Garden"
"Calycophyllum candidissimun","Calycophyllum candidissimum",0.75,"Tropicos - Missouri Botanical Garden"
"Canarium 4","Canarium",0.75,"Tropicos - Missouri Botanical Garden"
