"species","datasetKey","datasetTitle","country_name"
"Quercus ilex","f8c3eca8-349d-4e4c-9374-af8177cc1901","Global Register of Introduced and Invasive Species - La Palma, Islas Canarias, Spain","La Palma, Islas Canarias, Spain"
"Quercus ilex","45760a8e-818e-4fe9-9537-c069500b09ea","Global Register of Introduced and Invasive Species - Gran Canaria, Islas Canarias, Spain","Gran Canaria, Islas Canarias, Spain"
"Quercus ilex","aaa48ec4-fd8c-466c-ae23-6cf72184ddb0","Global Register of Introduced and Invasive Species - Tenerife, Islas Canarias, Spain","Tenerife, Islas Canarias, Spain"
"Quercus faginea",NA,NA,"Spain"
"Dracontomelon dao",NA,NA,"Philippines"
"Artocarpus blancoi",NA,NA,"Philippines"
"Swietenia",NA,NA,"Philippines"
"Citrus x limon",NA,NA,"India"
"Acacia",NA,NA,"India"
"Millettia pinnata",NA,NA,"India"
"Mahua",NA,NA,"India"
"Annona squamosa","b09c3987-af9a-4658-9bfd-19cf712ac3d1","Global Register of Introduced and Invasive Species - India","India"
"Annona squamosa","b351a324-77c4-41c9-a909-f30f77268bc4","Global Invasive Species Database","Global Invasive Species Database"
"Bombax ceiba",NA,NA,"India"
"Tectona grandis",NA,NA,"India"
"Pongamia pinnata",NA,NA,"India"
"Custard Apple",NA,NA,"India"
"Terminalia cambodiana",NA,NA,"Cambodia"
"Crateva religiosa",NA,NA,"Cambodia"
"Bridelia cambodiana",NA,NA,"Cambodia"
"Xanthophyllum glaucum",NA,NA,"Cambodia"
"Cynometra ramiflora",NA,NA,"Cambodia"
"Madhuca elliptica",NA,NA,"Cambodia"
"Combretum trifoliatum",NA,NA,"Cambodia"
"Derris trifoliata",NA,NA,"Cambodia"
"Ficus heterophylla",NA,NA,"Cambodia"
"Gmelina asiatica",NA,NA,"Cambodia"
"Coffea arabica",NA,NA,"Mexico"
"Guazuma ulmifolia",NA,NA,"Mexico"
"Gliricidia sepium",NA,NA,"Mexico"
"Diphysa americana",NA,NA,"Mexico"
"Swietenia humilis",NA,NA,"Mexico"
"Pinus oocarpa",NA,NA,"Mexico"
"Brosimum alicastrum",NA,NA,"Mexico"
"Enterolobium cyclocarpum",NA,NA,"Mexico"
"Cordia alliodora",NA,NA,"Mexico"
"Cordia dodecandra",NA,NA,"Mexico"
"Swietenia macrophylla",NA,NA,"Colombia"
"Anacardium excelsum",NA,NA,"Colombia"
"Maclura tinctoria",NA,NA,"Colombia"
"Inga",NA,NA,"Colombia"
"Guazuma ulmifolia",NA,NA,"Colombia"
"Enterolobium cyclocarpum",NA,NA,"Colombia"
"Sabal mauritiiformis",NA,NA,"Colombia"
"Tabebuia rosea",NA,NA,"Colombia"
"Guarea guidonia",NA,NA,"Colombia"
"Vitex cymosa",NA,NA,"Colombia"
"Persea americana",NA,NA,"Colombia"
"Hymenaea courbaril",NA,NA,"Colombia"
"Artocarpus altilis","168568e7-eb5f-4ef6-8c59-f73ceaf57e91","Global Register of Introduced and Invasive Species - Colombia","Colombia"
"Aspidosperma desmanthum",NA,NA,"Colombia"
"Cassia grandis",NA,NA,"Colombia"
"Astronium graveolens",NA,NA,"Colombia"
"Nectandra",NA,NA,"Colombia"
"Schizolobium parahyba",NA,NA,"Colombia"
"Caesalpinia coriaria",NA,NA,"Colombia"
"Zygia",NA,NA,"Colombia"
"Moringa oleifera",NA,NA,"Colombia"
"Protium",NA,NA,"Colombia"
"Tamarindus indica",NA,NA,"Colombia"
"Brosimum alicastrum",NA,NA,"Colombia"
"Annona",NA,NA,"Colombia"
"Anacardium occidentale",NA,NA,"Colombia"
"Annona cherimola","168568e7-eb5f-4ef6-8c59-f73ceaf57e91","Global Register of Introduced and Invasive Species - Colombia","Colombia"
"Albizia",NA,NA,"Colombia"
"Inga edulis",NA,NA,"Colombia"
"Mangifera",NA,NA,"Colombia"
"Pterygota colombiana",NA,NA,"Colombia"
"Syzygium",NA,NA,"Colombia"
"Pouteria sapota",NA,NA,"Colombia"
"Cariniana pyriformis",NA,NA,"Colombia"
"Pachira quinata",NA,NA,"Colombia"
"Manilkara zapota",NA,NA,"Colombia"
"Tabebuia chrysantha",NA,NA,"Colombia"
"Brosimum",NA,NA,"Colombia"
"Mammea americana",NA,NA,"Colombia"
"Mfsp 2",NA,NA,"Colombia"
"Mfsp 1",NA,NA,"Colombia"
"Trema",NA,NA,"Colombia"
"Ficus",NA,NA,"Colombia"
"Acacia verticillata",NA,NA,"Australia"
"Allocasuarina littoralis",NA,NA,"Australia"
"Allocasuarina paludosa",NA,NA,"Australia"
"Allocasuarina pusilla",NA,NA,"Australia"
"Banksia integrifolia",NA,NA,"Australia"
"Banksia marginata",NA,NA,"Australia"
