"project_country","species","country_name","datasetKey","scientificName","datasetTitle","status_notes","status"
"MG","Prunus persica","Madagascar","baf86ad8-24ad-4603-a723-dcc9647846da",NA,"Global Register of Introduced and Invasive Species - Madagascar","potentially introduced",NA
"MG","Spondias","Madagascar",NA,NA,NA,NA,NA
"MG","Dombeya","Madagascar",NA,NA,NA,NA,NA
"MG","Abrahamia ditimena","Madagascar",NA,NA,NA,NA,NA
"MG","Ficus reflexa","Madagascar",NA,NA,NA,NA,NA
"MG","Trema orientale","Madagascar",NA,NA,NA,NA,NA
"MG","Syzygium aromaticum","Madagascar",NA,NA,NA,NA,NA
"MG","Artocarpus heterophyllus","Madagascar",NA,NA,NA,NA,NA
"MG","Eriobotrya japonica","Madagascar",NA,NA,NA,NA,NA
"MG","Pittosporum","Madagascar",NA,NA,NA,NA,NA
"MG","Albizia gummifera","Madagascar",NA,NA,NA,NA,NA
"MG","Piper nigrum","Madagascar",NA,NA,NA,NA,NA
"MG","Tarenna","Madagascar",NA,NA,NA,NA,NA
"MG","Erythroxylum sphaeranthum","Madagascar",NA,NA,NA,NA,NA
"MG","Coffea","Madagascar",NA,NA,NA,NA,NA
"MG","Dracaena reflexa","Madagascar",NA,NA,NA,NA,NA
"MG","Macaranga obovata","Madagascar",NA,NA,NA,NA,NA
"MG","Ficus tiliifolia","Madagascar",NA,NA,NA,NA,NA
"MG","Ficus megapoda","Madagascar",NA,NA,NA,NA,NA
"MG","Malus","Madagascar",NA,NA,NA,NA,NA
"MG","Leucaena","Madagascar",NA,NA,NA,NA,NA
"MG","Dracaena","Madagascar",NA,NA,NA,NA,NA
"CO","Mfsp 9","Colombia",NA,NA,NA,NA,NA
